DateTime,AddedIPs,RemovedIPs
1507061318,0,2
1507063242,2,3
1507065155,0,3
1507067333,5,2
1507069648,1,1
1507071995,4,2
1507074015,2,0
1507076060,5,2
1507080261,1,2
1507082188,0,5
1507084106,1,2
1507086067,1,5
1507087950,2,2
1507089875,2,5
1507091780,0,4
1507093704,2,3
1507095628,4,1
1507097563,1,6
1507099465,2,3
1507101394,2,5
1507103313,1,7
1507105224,1,4
1507107141,6,0
1507109063,2,3
1507110992,7,3
1507112927,1,3
1507115788,11,0
1507117974,2,5
1507119856,3,1
1507121844,5,2
1507123694,4,1
1507125764,2,2
1507127768,5,4
1507129982,5,2
1507131865,2,1
1507133823,3,2
1507135721,1,0
1507137916,2,1
1507139775,6,21
1507141979,1,1
1507143868,1,0
1507145834,1,0
1507147701,2,0
1507149671,1,2
1507151561,1,1
1507153508,3,5
1507155408,2,2
1507157495,1,2
1507159452,2,2
1507162579,1,3
1507164500,1,1
1507166419,1,1
1507168336,3,0
1507170249,5,1
1507172176,3,3
1507174086,1,2
1507176044,2,4
1507177930,1,0
1507179856,2,0
1507181792,0,3
1507183704,0,2
1507185619,1,2
1507187534,2,3
1507189463,4,1
1507191382,1,1
1507193304,2,0
1507195220,2,0
1507197145,16,8
1507199058,0,1
1507202898,1,2
1507204848,1,1
1507206753,796,4
1507208677,1206,2
1507210578,513,2
1507212497,4,2
1507214424,1,2
1507216359,1,3
1507218263,1,1
1507220452,0,3
1507224276,2,0
1507226189,1,1
1507228105,0,3
1507230043,2,2
1507232200,1,0
1507234111,2,1
1507236042,3,4
1507237907,1,0
1507239862,2,2
1507241762,1,1
1507243671,1,1
1507245635,0,3
1507247959,1,1
1507249769,2,2
1507251649,1,1
1507253560,0,3
1507255473,1,1
1507257389,1,0
1507259298,3,1
1507261230,3,2
1507263138,2,1
1507265066,2,1
1507267197,1,2
1507269463,0,1
1507271512,0,2
1507273475,1,1
1507275394,3,3
1507277307,1,3
1507279234,9,1
1507281118,1,1
1507283195,5,5
1507285227,3,0
1507287148,2,0
1507289059,1,1
1507290977,1,2
1507292899,2,627
1507294851,3,1259
1507296758,3,638
1507298669,1,3
1507300604,0,3
1507302509,4,2
1507304610,2,0
1507306846,3,0
1507308769,10,0
1507310658,0,2
1507312643,1,0
1507314523,3,1
1507317604,5,2
1507319530,4,2
1507321494,1,2
1507323411,1,2
1507325330,0,3
1507327261,2,1
1507329212,1,1
1507331088,2,0
1507333021,4,1
1507334903,1,3
1507336883,4,3
1507339003,1,1
1507340911,0,2
1507342846,1,2
1507344746,2,3
1507346665,7,2
1507348582,0,1
1507350517,2,3
1507352433,3,1
1507354367,5,1
1507356301,1,3
1507358172,1,1
1507360135,7,1
1507362027,1,2
1507363994,1,1
1507365878,8,7
1507367823,4,2
1507369695,7,7
1507371675,4,0
1507373565,4,6
1507375538,0,3
1507377381,4,2
1507379419,3,6
1507381252,1,3
1507383230,4,4
1507385078,2,5
1507387024,2,2
1507388898,0,3
1507390890,0,3
1507392764,1,5
1507394756,2,5
1507396614,2,3
1507400440,1,5
1507402400,5,1
1507404261,1,1
1507406209,0,3
1507408101,2,1
1507410113,2,4
1507411962,0,2
1507413893,2,2
1507415791,3,1
1507417769,3,4
1507419640,2,0
1507421654,0,6
1507423480,2,8
1507425481,2,2
1507427320,4,1
1507431144,1,1
1507433182,2,6
1507434995,2,0
1507436994,0,1
1507439809,3,3
1507441712,3,4
1507443638,1,2
1507445550,1,2
1507447472,1,2
1507449392,7,3
1507451319,2,2
1507454214,12,7
1507456235,61,7
1507458037,53,4
1507460010,61,3
1507461866,26,1
1507463869,28,3
1507465701,26,4
1507467735,37,2
1507469572,9,3
1507471539,43,2
1507473382,9,1
1507475365,10,2
1507477409,24,2
1507479222,16,3
1507481067,32,5
1507483065,46,2
1507484899,52,0
1507487169,63,5
1507488971,26,2
1507490992,42,0
1507493806,76,1
1507495711,26,4
1507497624,115,1
1507499562,76,3
1507501715,63,2
1507503658,31,0
1507506575,5,7
1507508424,1,1
1507510449,1,3
1507512262,4,1
1507514296,6,2
1507516103,3,2
1507518197,4,2
1507520177,2,2
1507522097,3,2
1507524007,6,1
1507526213,2,4
1507528104,2,3
1507530039,5,1
1507531977,16,0
1507533881,4,1
1507535782,3,7
1507537703,18,2
1507539687,4,1
1507541565,3,35
1507543480,3,61
1507545386,1,52
1507547306,3,49
1507549242,0,22
1507551354,0,30
1507553321,0,48
1507555218,0,7
1507557137,4,23
1507559058,2,35
1507560989,4,5
1507562915,2,23
1507564927,0,14
1507566765,0,26
1507568688,1,39
1507570596,2,45
1507572752,0,61
1507574665,1,45
1507576593,3,33
1507578506,37,45
1507580455,9,48
1507582338,0,28
1507584362,2,122
1507586182,0,58
1507589300,2,81
1507591217,1,9
1507593132,3,0
1507595068,2,0
1507596871,0,1
1507598911,4,2
1507600811,3,5
