DateTime,AddedIPs,RemovedIPs
1507661102,14,13
1507662028,8,9
1507662741,11,0
1507663467,4,8
1507664428,9,11
1507665385,11,2
1507666347,12,11
1507667056,8,10
1507667787,6,9
1507668491,3,0
1507669239,10,13
1507670198,8,9
1507671149,11,12
1507671850,5,0
1507672576,9,10
1507673550,4,6
1507674253,4,4
1507674993,4,8
1507675700,5,4
1507676427,8,12
1507677150,7,0
1507678111,6,12
1507678813,5,8
1507679528,6,7
1507680276,6,8
1507680978,8,10
1507681959,5,4
1507682651,9,5
1507683372,2,6
1507684354,7,4
1507685051,13,11
1507685778,6,10
1507686744,7,6
1507687460,4,6
1507688180,6,14
1507689167,5,5
1507689849,11,7
1507690588,3,3
1507691544,12,10
1507692252,9,0
1507692975,4,10
1507693691,7,0
1507694444,6,8
1507695142,3,0
1507695871,5,9
1507696829,3,6
1507697528,6,0
1507698269,2,5
1507699227,3,2
1507700193,7,5
1507700901,7,2
1507701626,5,5
1507702338,7,6
1507703055,9,9
1507704027,10,8
1507704992,6,2
1507705943,12,6
1507706904,12,7
1507708349,4,8
1507709055,6,0
1507709779,2,5
1507710759,6,4
1507711454,8,0
1507712187,5,6
1507712896,4,0
1507713628,6,7
1507714340,2,0
1507715057,7,2
1507715767,2,7
1507716512,8,2
1507717208,7,0
1507717945,4,4
1507718654,4,7
1507719369,7,1
1507720350,6,9
1507721296,12,3
1507722008,6,1
1507722745,5,3
1507723724,1,7
1507724429,4,2
1507725145,12,7
1507725849,5,0
1507726579,10,5
1507727554,3,7
1507728251,2,9
1507728973,9,0
1507729950,6,5
1507730903,9,4
1507731880,5,5
1507732572,3,3
1507733297,4,4
1507734009,7,0
1507734748,4,9
1507735701,5,13
1507736408,10,0
1507737388,11,11
1507738097,2,0
1507739070,6,15
1507740033,9,10
1507740741,7,7
1507741482,11,6
1507742174,5,5
1507742908,6,8
1507743862,16,4
1507744581,4,5
1507745312,5,5
1507746037,4,4
1507747755,22,8
1507748467,8,4
1507749393,10,11
1507750098,5,4
1507750822,7,9
1507751548,9,10
1507752261,5,10
1507753232,12,9
1507753932,7,0
1507754659,7,13
1507755388,7,10
1507756104,6,0
