DateTime,AddedIPs,RemovedIPs
1507662028,60,50
1507662741,54,51
1507663467,38,48
1507664428,42,53
1507665385,46,63
1507666347,66,63
1507667056,37,55
1507667787,45,39
1507668491,32,55
1507669239,45,45
1507670198,54,52
1507671149,54,84
1507671850,58,45
1507672576,35,58
1507673550,73,79
1507674253,49,53
1507674993,36,31
1507675700,33,44
1507676427,28,37
1507677150,49,31
1507678111,50,60
1507678813,42,35
1507679528,36,45
1507680276,31,33
1507680978,47,34
1507681959,33,52
1507682651,41,56
1507683372,29,39
1507684354,55,50
1507685051,42,46
1507685778,36,49
1507686744,46,63
1507687460,40,42
1507688180,40,39
1507689167,51,45
1507689849,46,23
1507690588,27,29
1507691544,31,46
1507692252,51,75
1507692975,60,37
1507693691,25,39
1507694444,41,18
1507695142,29,47
1507695871,27,25
1507696829,37,39
1507697528,23,35
1507698269,32,31
1507699227,40,22
1507700193,33,41
1507700901,33,33
1507701626,36,29
1507702338,47,43
1507703055,35,55
1507704027,67,58
1507704992,42,49
1507705943,58,66
1507706904,62,78
1507707607,44,36
1507708349,48,48
1507709055,48,26
1507709779,37,36
1507710759,57,41
1507711454,57,25
1507712187,30,32
1507712896,26,39
1507713628,41,40
1507714340,27,51
1507715057,65,27
1507715767,35,39
1507716512,47,28
1507717208,33,42
1507717945,37,49
1507718654,43,84
1507719369,102,38
1507720350,44,46
1507721296,78,49
1507722008,32,55
1507722745,36,51
1507723724,54,52
1507724429,41,36
1507725145,45,32
1507725849,31,34
1507726579,33,39
1507727554,58,31
1507728251,47,34
1507728973,32,40
1507729950,35,49
1507730903,56,44
1507731880,39,69
1507732572,45,33
1507733297,42,47
1507734009,36,24
1507734748,37,36
1507735701,33,37
1507736408,49,53
1507737388,33,57
1507738097,34,31
1507739070,55,39
1507740033,57,51
1507740741,56,35
1507741482,48,41
1507742174,52,45
1507742908,40,38
1507743862,56,51
1507744581,42,22
1507745312,25,44
1507746037,38,51
1507747755,95,90
1507748467,61,40
1507749393,60,64
1507750098,31,56
1507750822,39,135
1507751548,133,31
1507752261,29,48
1507753232,72,59
1507753932,44,42
1507754659,55,54
1507755388,32,33
1507756104,34,53
1507756807,39,56
1507757537,51,56
1507758253,48,65
1507758987,55,43
1507759945,57,55
1507760651,49,34
1507761371,37,37
1507762092,56,61
1507762837,28,33
1507763796,35,46
1507764752,50,54
1507765704,48,52
1507766681,43,39
1507767634,58,50
1507768342,34,30
1507769071,27,43
1507769766,29,41
1507770504,37,43
1507771484,39,58
1507772168,49,42
1507772899,35,40
1507773633,48,43
1507774340,34,98
1507775054,97,39
1507775769,29,42
1507776507,47,34
1507777223,42,29
1507777943,32,28
1507778661,35,46
1507779378,39,43
1507780094,47,26
1507780827,20,43
1507781545,33,46
1507782507,47,45
1507783467,53,40
1507784469,34,30
1507785140,25,52
1507785864,51,31
1507786567,34,33
1507787298,37,44
1507788008,35,37
1507788743,35,29
1507789450,39,34
1507790184,36,40
1507791171,58,47
1507792110,38,43
1507792819,40,50
1507793549,48,38
1507794251,31,39
1507794970,41,36
1507795952,60,43
1507796651,35,55
1507797398,48,55
1507798106,54,41
1507798819,62,32
1507799528,41,46
1507800253,58,42
1507800980,36,29
1507801715,35,48
1507802413,57,55
1507803146,63,37
1507803851,45,40
1507804573,35,28
1507805558,40,39
1507806504,29,38
1507807208,48,38
1507807948,40,35
1507808652,56,43
1507809389,35,33
1507810103,23,38
1507810820,49,33
1507811543,54,31
1507812251,33,43
1507813006,31,37
1507813702,51,39
1507814423,37,38
1507815152,38,35
1507815865,49,50
1507816848,50,55
1507817793,57,60
1507818748,51,46
1507819699,48,41
1507820679,55,54
1507821628,67,40
1507822341,36,44
1507823068,36,40
1507825256,96,85
1507825945,59,36
1507826653,40,44
1507827635,56,44
1507828338,22,24
