DateTime,Entries,UniqueIPs
1507662028,7612,7612
1507662741,7615,7615
1507663467,7605,7605
1507664428,7594,7594
1507665385,7577,7577
1507666347,7580,7580
1507667056,7562,7562
1507667787,7568,7568
1507668491,7545,7545
1507669239,7545,7545
1507670198,7547,7547
1507671149,7517,7517
1507671850,7530,7530
1507672576,7507,7507
1507673550,7501,7501
1507674253,7497,7497
1507674993,7502,7502
1507675700,7491,7491
1507676427,7482,7482
1507677150,7500,7500
1507678111,7490,7490
1507678813,7497,7497
1507679528,7488,7488
1507680276,7486,7486
1507680978,7499,7499
1507681959,7480,7480
1507682651,7465,7465
1507683372,7455,7455
1507684354,7460,7460
1507685051,7456,7456
1507685778,7443,7443
1507686744,7426,7426
1507687460,7424,7424
1507688180,7425,7425
1507689167,7431,7431
1507689849,7454,7454
1507690588,7452,7452
1507691544,7437,7437
1507692252,7413,7413
1507692975,7436,7436
1507693691,7422,7422
1507694444,7445,7445
1507695142,7427,7427
1507695871,7429,7429
1507696829,7427,7427
1507697528,7415,7415
1507698269,7416,7416
1507699227,7434,7434
1507700193,7426,7426
1507700901,7426,7426
1507701626,7433,7433
1507702338,7437,7437
1507703055,7417,7417
1507704027,7426,7426
1507704992,7419,7419
1507705943,7411,7411
1507706904,7395,7395
1507707607,7403,7403
1507708349,7403,7403
1507709055,7425,7425
1507709779,7426,7426
1507710759,7442,7442
1507711454,7474,7474
1507712187,7472,7472
1507712896,7459,7459
1507713628,7460,7460
1507714340,7436,7436
1507715057,7474,7474
1507715767,7470,7470
1507716512,7489,7489
1507717208,7480,7480
1507717945,7468,7468
1507718654,7427,7427
1507719369,7491,7491
1507720350,7489,7489
1507721296,7518,7518
1507722008,7495,7495
1507722745,7480,7480
1507723724,7482,7482
1507724429,7487,7487
1507725145,7500,7500
1507725849,7497,7497
1507726579,7491,7491
1507727554,7518,7518
1507728251,7531,7531
1507728973,7523,7523
1507729950,7509,7509
1507730903,7521,7521
1507731880,7491,7491
1507732572,7503,7503
1507733297,7498,7498
1507734009,7510,7510
1507734748,7511,7511
1507735701,7507,7507
1507736408,7503,7503
1507737388,7479,7479
1507738097,7482,7482
1507739070,7498,7498
1507740033,7504,7504
1507740741,7525,7525
1507741482,7532,7532
1507742174,7539,7539
1507742908,7541,7541
1507743862,7546,7546
1507744581,7566,7566
1507745312,7547,7547
1507746037,7534,7534
1507747755,7539,7539
1507748467,7560,7560
1507749393,7556,7556
1507750098,7531,7531
1507750822,7435,7435
1507751548,7537,7537
1507752261,7518,7518
1507753232,7531,7531
1507753932,7533,7533
1507754659,7534,7534
1507755388,7533,7533
1507756104,7514,7514
1507756807,7497,7497
1507757537,7492,7492
1507758253,7475,7475
1507758987,7487,7487
1507759945,7489,7489
1507760651,7504,7504
1507761371,7504,7504
1507762092,7499,7499
1507762837,7494,7494
1507763796,7483,7483
1507764752,7479,7479
1507765704,7475,7475
1507766681,7479,7479
1507767634,7487,7487
1507768342,7491,7491
1507769071,7475,7475
1507769766,7463,7463
1507770504,7457,7457
1507771484,7438,7438
1507772168,7445,7445
1507772899,7440,7440
1507773633,7445,7445
1507774340,7381,7381
1507775054,7439,7439
1507775769,7426,7426
1507776507,7439,7439
1507777223,7452,7452
1507777943,7456,7456
1507778661,7445,7445
1507779378,7441,7441
1507780094,7462,7462
1507780827,7439,7439
1507781545,7426,7426
1507782507,7428,7428
1507783467,7441,7441
1507784469,7445,7445
1507785140,7418,7418
1507785864,7438,7438
1507786567,7439,7439
1507787298,7432,7432
1507788008,7430,7430
1507788743,7436,7436
1507789450,7441,7441
1507790184,7437,7437
1507791171,7448,7448
1507792110,7443,7443
1507792819,7433,7433
1507793549,7443,7443
1507794251,7435,7435
1507794970,7440,7440
1507795952,7457,7457
1507796651,7437,7437
1507797398,7430,7430
1507798106,7443,7443
1507798819,7473,7473
1507799528,7468,7468
1507800253,7484,7484
1507800980,7491,7491
1507801715,7478,7478
1507802413,7480,7480
1507803146,7506,7506
1507803851,7511,7511
1507804573,7518,7518
1507805558,7519,7519
1507806504,7510,7510
1507807208,7520,7520
1507807948,7525,7525
1507808652,7538,7538
1507809389,7540,7540
1507810103,7525,7525
1507810820,7541,7541
1507811543,7564,7564
1507812251,7554,7554
1507813006,7548,7548
1507813702,7560,7560
1507814423,7559,7559
1507815152,7562,7562
1507815865,7561,7561
1507816848,7556,7556
1507817793,7553,7553
1507818748,7558,7558
1507819699,7565,7565
1507820679,7566,7566
1507821628,7593,7593
1507822341,7585,7585
1507823068,7581,7581
1507825256,7592,7592
1507825945,7615,7615
1507826653,7611,7611
1507827635,7623,7623
1507828338,7621,7621
1507829070,7607,7607
1507829781,7601,7601
1507830508,7613,7613
1507831465,7617,7617
1507832174,7614,7614
1507832909,7632,7632
1507833612,7643,7643
1507834348,7644,7644
1507835060,7653,7653
1507835786,7649,7649
1507836501,7654,7654
1507837458,7654,7654
1507838182,7633,7633
1507838898,7632,7632
1507839617,7632,7632
1507840350,7633,7633
1507841300,7645,7645
1507842013,7658,7658
1507842752,7652,7652
1507843453,7646,7646
1507844172,7621,7621
1507845146,7612,7612
1507845857,7611,7611
1507846995,7605,7605
1507847769,7599,7599
1507848511,7594,7594
1507849476,7593,7593
1507850433,7599,7599
1507851143,7612,7612
1507851854,7598,7598
