DateTime,Entries,UniqueIPs
1507349436,9307,9307
1507350513,9309,9309
1507351531,9305,9305
1507352972,9306,9306
1507354234,9306,9306
1507355116,8244,8244
1507356073,9304,9304
1507357703,9306,9306
1507358540,9302,9302
1507359392,9303,9303
1507360231,9305,9305
1507360468,9306,9306
1507361438,9304,9304
1507362333,9308,9308
1507363314,9304,9304
1507364139,9305,9305
1507365037,9307,9307
1507365754,9306,9306
1507366582,9308,9308
1507367417,8244,8244
1507368330,9311,9311
1507369351,9313,9313
1507370473,9312,9312
1507371332,9314,9314
1507372103,9316,9316
1507373135,9316,9316
1507374632,9322,9322
1507375708,9328,9328
1507376736,9343,9343
1507377383,9351,9351
1507378239,9353,9353
1507379305,9364,9364
1507380157,9349,9349
1507382063,9375,9375
1507382908,9389,9389
1507383748,9380,9380
1507386034,9399,9399
1507386842,9395,9395
1507388189,9397,9397
1507389034,9404,9404
1507391129,9382,9382
1507391796,9383,9383
1507392632,8244,8244
1507393486,9389,9389
1507394727,9406,9406
1507395383,9409,9409
1507396200,9410,9410
1507397206,9423,9423
1507398335,9400,9400
1507399831,9385,9385
1507401164,9399,9399
1507402098,9414,9414
1507403440,9422,9422
1507404439,9433,9433
1507405530,9398,9398
1507406467,9375,9375
1507407336,9377,9377
1507408234,9348,9348
1507409139,9337,9337
1507409793,9333,9333
1507410604,9315,9315
1507411475,9326,9326
1507412444,9320,9320
1507413337,9327,9327
1507414234,9304,9304
1507416150,9298,9298
1507416983,9306,9306
1507417833,9291,9291
1507418710,9290,9290
1507419635,9283,9283
1507420797,9285,9285
1507421728,9295,9295
1507422904,9298,9298
1507423833,9296,9296
1507425271,9297,9297
1507426238,9298,9298
1507426950,9297,9297
1507427791,9298,9298
1507428633,9293,9293
1507429523,9298,9298
1507430438,9299,9299
1507431331,9314,9314
1507432240,9348,9348
1507433433,9372,9372
1507434273,9378,9378
1507435468,9396,9396
1507436425,9414,9414
1507437319,9431,9431
1507437751,9438,9438
1507438898,9463,9463
1507439737,9466,9466
1507441082,9478,9478
1507442184,9499,9499
1507443036,9496,9496
1507444110,9503,9503
1507445130,9507,9507
1507446219,9513,9513
1507447238,9526,9526
1507448492,9537,9537
1507450040,9574,9574
1507452289,8244,8244
1507452994,9597,9597
1507453841,9600,9600
1507454663,9600,9600
1507455623,9600,9600
1507456535,9602,9602
1507457436,9610,9610
1507458590,9610,9610
1507459354,9623,9623
1507460699,9649,9649
1507461634,9654,9654
1507462478,9655,9655
1507464065,9684,9684
1507464936,9693,9693
1507465820,8244,8244
1507466733,9697,9697
1507467751,9703,9703
1507468836,9717,9717
1507469308,9713,9713
1507470328,9717,9717
1507472064,9714,9714
1507472896,9717,9717
1507473745,9711,9711
1507474629,9710,9710
1507475434,9714,9714
1507477345,9725,9725
1507478470,9732,9732
1507479270,9742,9742
1507480232,9743,9743
1507480946,9741,9741
1507482870,9737,9737
1507483831,9735,9735
1507484725,9738,9738
1507486465,9730,9730
1507487297,9736,9736
1507488331,9742,9742
1507488989,9746,9746
1507489829,9749,9749
1507490916,9757,9757
1507491768,9760,9760
1507493183,9771,9771
1507494034,9779,9779
1507495237,9775,9775
1507496194,9770,9770
1507497036,9768,9768
1507497931,9767,9767
1507498832,9766,9766
1507499729,9768,9768
1507500635,9777,9777
1507500876,8244,8244
1507501836,9791,9791
1507502559,9793,9793
1507503384,9798,9798
1507504235,9798,9798
1507506144,9801,9801
1507507719,9806,9806
1507509635,9811,9811
1507510587,9815,9815
1507511440,9815,9815
1507513243,9816,9816
1507514129,9819,9819
1507515027,9816,9816
1507516111,9817,9817
1507517564,9817,9817
1507518864,9812,9812
1507520434,9808,9808
1507521324,9810,9810
1507522240,9812,9812
1507523124,9813,9813
1507524033,9811,9811
1507524934,9812,9812
1507525838,9810,9810
1507526904,9812,9812
1507527813,9808,9808
1507529441,9812,9812
1507530334,9815,9815
1507531528,9810,9810
1507533270,9809,9809
1507534233,9806,9806
1507535052,9808,9808
1507536869,9808,9808
1507537829,9805,9805
1507538546,9805,9805
1507540233,9810,9810
1507541307,9813,9813
1507542221,9810,9810
1507543837,9811,9811
1507545750,9798,9798
1507546583,9787,9787
1507547438,9783,9783
1507549239,9769,9769
1507551033,9767,9767
1507552104,9769,9769
1507552947,9746,9746
1507554863,9742,9742
1507555833,9733,9733
1507556546,9731,9731
1507557733,9717,9717
1507558812,9722,9722
1507559302,8244,8244
1507560143,9720,9720
1507561147,8244,8244
1507562133,9723,9723
1507562909,9726,9726
1507563934,9705,9705
1507564584,9703,9703
1507565435,9703,9703
1507566833,9692,9692
1507567824,9689,9689
1507569033,9689,9689
1507570945,9671,9671
1507571876,9685,9685
1507572873,9688,9688
1507573720,9767,9767
1507574551,9756,9756
1507575908,8244,8244
1507576843,9780,9780
1507580066,9806,9806
1507581031,9815,9815
1507581744,9825,9825
1507583446,9826,9826
1507584482,9834,9834
1507585525,9831,9831
1507587032,9840,9840
1507588115,9844,9844
1507589134,9834,9834
1507589972,9834,9834
1507590936,9839,9839
1507591834,9830,9830
1507592739,9826,9826
1507593383,9828,9828
1507594238,9817,9817
1507596155,9811,9811
1507597835,9822,9822
1507599334,9840,9840
1507600668,9844,9844
1507601738,8244,8244
1507602503,9833,9833
1507603357,9814,9814
1507604552,9810,9810
1507605640,9822,9822
1507606943,9811,9811
1507608638,9801,9801
