DateTime,AddedIPs,RemovedIPs
1507080637,1,1
1507081675,1,1
1507082504,0,1
1507084241,0,2
1507084950,1,0
1507086635,0,1
1507088738,1,0
1507091306,1,0
1507092146,0,2
1507092991,1,0
1507093843,1,3
1507095569,2,1
1507099350,1,3
1507101274,3,1
1507102231,0,3
1507104087,0,1
1507105839,0,4
1507106738,1,0
1507107388,1,0
1507108240,2,0
1507109440,2,0
1507110338,1,0
1507111430,1,1
1507112070,2,0
1507113638,2,2
1507115437,1,2
1507116383,2,0
1507118453,1,0
1507120239,0,3
1507121286,1,0
1507122241,2,0
1507123069,1,0
1507124562,0,1
1507127440,2,1
1507129261,1,1
1507131040,0,1
1507132595,1,0
1507133426,2,0
1507136820,4,3
1507137640,3,0
1507138844,1,1
1507139794,1,0
1507140645,1,3
1507142555,1,3
1507144100,0,1
1507145438,0,2
1507149040,1,0
1507153049,1,0
1507155036,3,0
1507156241,1,1
1507158880,1,1
1507159838,1,0
1507162237,2,0
1507164036,0,1
1507167761,0,1
1507169434,1,3
1507169671,1,0
1507170623,0,1
1507171534,1,0
1507173039,3,0
1507174239,1,2
1507175427,1,0
1507178440,4,3
1507181433,2,0
1507182339,2,1
1507184137,1,0
1507185035,1,3
1507185750,1,0
1507187436,1,1
1507188508,3,1
1507189466,0,2
1507192239,1,2
1507194267,2,0
1507196149,1,0
1507196560,2,0
1507198842,1,1
1507199657,1,1
1507200503,1,0
1507201357,0,3
1507202438,1,0
1507203643,2,1
1507204586,1,0
1507206636,0,2
1507207725,2,0
1507209035,1,4
1507210895,0,1
1507212635,1,0
1507213835,1,3
1507215419,1,0
1507216239,0,2
1507217437,0,5
1507219765,1,0
1507223675,1,0
1507226126,1,1
1507228224,2,0
1507230636,2,2
1507231716,1,0
1507234475,1,2
1507236156,1,0
1507237288,0,1
1507238079,2,0
1507239043,0,1
1507241434,1,1
1507242483,1,1
1507243500,0,3
1507244796,0,1
1507245630,1,0
1507246837,0,3
1507249526,1,0
1507250449,1,1
1507251397,1,0
1507252241,2,1
1507253442,2,0
1507255835,0,1
1507257933,0,3
1507259746,1,1
1507261351,2,1
1507263036,1,1
1507265143,2,2
1507266083,2,0
1507268741,2,0
1507269828,0,2
1507271730,0,2
1507275936,0,1
1507277669,3,1
1507278638,0,2
1507280137,0,1
1507283778,2,4
1507284635,1,0
1507286556,2,2
1507288467,0,1
1507289310,1,0
1507290296,1,2
1507291835,1,2
1507293023,2,1
1507293747,3,0
1507294855,2,0
1507296642,1,2
1507299037,2,1
1507300109,1,0
1507301097,1,0
1507301786,1,0
1507302648,4,1
1507304435,2,3
1507305387,1,0
1507306236,1,2
1507308335,5,4
1507309835,0,1
1507312612,1,3
1507313444,1,0
1507314634,1,0
1507315530,1,0
1507320145,3,1
1507322614,0,1
1507324482,3,1
1507325438,1,3
1507326335,1,0
1507327287,2,0
1507328139,1,0
1507329361,1,2
1507330521,1,1
1507331441,0,1
1507333236,0,1
1507335037,1,0
1507337760,0,1
1507338637,0,1
1507339841,0,2
1507340768,1,0
1507342466,1,4
1507343725,4,1
1507345842,0,1
1507347934,0,3
1507349442,1,0
1507351535,1,2
1507352979,4,1
1507354239,0,1
1507355125,2,1
1507356940,2,0
1507357707,1,0
1507358544,1,5
1507359396,1,0
1507360236,0,1
1507361443,1,1
1507362338,2,0
1507363336,1,2
1507364144,1,0
1507365041,0,1
1507367423,1,1
1507368334,1,0
1507369356,0,2
1507370483,0,1
1507371336,1,0
1507372107,1,0
1507373140,1,4
1507374636,0,1
1507375712,0,1
1507376740,0,2
1507380161,2,0
1507382067,3,0
1507382912,1,0
1507383752,1,2
1507386038,2,1
1507386867,1,0
1507388195,1,0
1507389038,0,1
1507391133,2,0
1507392637,0,1
1507394731,4,2
1507395387,1,0
1507397215,1,0
1507398340,2,3
1507399835,2,1
1507401185,2,1
1507402110,0,1
1507403444,0,1
1507405535,1,0
1507407340,1,0
1507408238,0,2
1507411480,1,0
1507413341,1,0
1507416154,2,1
1507417837,1,0
1507419639,1,2
1507420804,0,2
1507422909,1,2
1507426243,2,0
1507426954,2,0
1507427796,1,1
1507428637,1,1
1507429528,2,0
1507430446,0,1
1507431336,1,0
1507432244,1,0
1507433439,2,5
1507434277,2,0
1507435473,2,3
1507436429,3,0
1507437755,1,1
1507438909,1,1
1507439742,1,0
1507444114,1,0
1507446234,1,0
1507448497,0,3
1507450054,1,1
1507452298,2,3
1507452999,1,0
1507453846,0,3
1507455627,0,2
1507457440,0,1
1507458618,0,1
1507459360,1,0
1507460703,2,1
1507461639,1,0
1507462483,0,1
1507464087,0,4
1507464941,2,0
1507465827,1,0
1507467770,0,1
1507468840,2,0
1507470333,0,2
1507472068,1,3
1507473749,0,4
1507474633,1,0
1507475438,0,1
1507477350,0,6
1507478492,0,1
1507480236,2,1
1507480951,0,1
1507482875,2,0
1507483839,0,2
1507486469,0,1
1507487301,1,0
1507488335,0,2
1507489834,1,0
1507490920,1,0
1507491772,0,1
1507493189,2,1
1507494038,1,0
1507495244,0,4
1507497040,1,2
1507498844,0,4
1507499733,1,0
1507500640,1,1
1507504240,1,1
1507507723,4,1
1507509639,1,1
1507511444,1,2
1507513248,1,4
1507515033,1,0
1507517568,1,1
1507518869,1,0
1507522244,0,1
1507524038,0,4
1507525842,1,1
1507527818,1,4
1507529449,1,0
1507531532,0,2
1507533274,0,2
1507534238,0,1
1507535056,0,1
1507536874,1,0
1507537838,0,2
1507541311,3,1
1507542226,1,1
1507543841,0,1
1507545754,1,1
1507546587,1,0
1507547442,1,1
1507549243,1,0
1507551037,1,4
1507552108,2,0
1507552951,1,2
1507554868,1,1
1507555838,2,0
1507557751,0,1
1507558823,1,0
1507560147,0,2
1507562138,1,0
1507563938,1,3
1507564588,1,0
1507565439,1,2
1507566847,3,2
1507569037,1,1
1507570949,0,2
1507572877,2,1
1507573725,6,0
1507574555,0,1
1507575920,1,1
1507580071,3,0
1507581040,0,1
1507581748,1,0
1507583450,2,1
1507584486,2,0
1507585530,1,2
1507587036,3,1
1507588119,1,0
1507589140,3,1
1507589976,2,0
1507591839,1,1
1507592746,2,0
1507593388,1,1
1507596159,4,1
1507597839,2,4
1507599339,1,2
1507602507,2,1
1507603362,0,4
1507604563,0,2
1507605644,2,0
1507606946,1,3
1507608642,1,2
1507609557,1,0
1507610546,3,0
1507612101,2,0
1507614926,0,1
1507615841,0,1
1507618769,0,1
1507619745,1,0
1507621349,3,2
1507623271,1,1
1507624952,1,0
1507627710,1,0
1507628553,0,1
1507629823,1,2
1507630766,1,0
1507631739,2,2
1507633711,1,0
1507634694,4,0
1507635626,9,3
1507636666,4,0
1507637642,1,1
1507638630,0,2
1507642523,0,1
1507644633,0,1
1507649788,0,2
1507651833,0,1
1507656632,0,1
1507658635,0,1
1507660515,0,2
1507662445,0,2
1507664544,0,1
1507668714,0,1
1507669760,0,2
1507671748,0,1
1507677035,0,3
1507678952,0,2
1507682184,0,2
1507686333,0,1
1507687413,0,1
1507689028,0,1
1507696230,0,1
1507698632,0,2
1507708758,0,2
1507711362,0,1
1507715076,0,1
1507716633,0,1
1507718548,0,1
1507722153,0,2
1507725253,0,2
1507733128,0,2
1507734634,0,2
1507736549,0,3
1507738170,0,3
1507740330,0,1
1507741278,0,4
1507743929,0,6
1507747322,0,2
1507748338,0,1
1507750231,0,3
1507752633,0,3
1507754731,0,3
1507756233,0,2
1507758327,0,1
1507759800,0,4
1507761783,0,1
1507762843,0,2
