DateTime,AddedIPs,RemovedIPs
1507288472,2,24
1507290301,2,14
1507290998,1,1
1507291840,1,6
1507292076,1,0
1507293036,1,24
1507294862,1,10
1507296647,0,12
1507297516,1,2
1507299042,2,8
1507300114,0,1
1507301109,0,41
1507301790,1,0
1507302653,0,8
1507303493,1,0
1507304440,2,14
1507305391,1,0
1507306241,0,6
1507308340,2,26
1507309840,4,11
1507310912,4,0
1507312616,1,3
1507313448,1,1
1507314638,0,3
1507315534,1,0
1507317931,2,0
1507320154,0,9
1507322619,0,3
1507324487,1,2
1507325444,0,2
1507327296,0,2
1507328144,1,0
1507329379,1,4
1507330526,0,2
1507331446,0,4
1507332331,1,0
1507333240,0,4
1507334157,1,0
1507335041,0,17
1507336850,1,20
1507337776,2,0
1507338642,0,17
1507339846,0,9
1507342471,2,1
1507343734,0,2
1507345847,3,1
1507347940,0,2
1507350527,1,0
1507351541,0,1
1507352988,1,1
1507354244,3,1
1507358549,1,1
1507359401,1,1
1507360241,1,1
1507362343,1,0
1507363372,0,1
1507364425,1,0
1507365764,2,0
1507366591,1,0
1507367428,2,0
1507369360,0,1
1507370488,1,0
1507373145,1,1
1507374640,2,0
1507375716,2,1
1507377392,24,1
1507378248,7,6
1507379315,9,1
1507380166,2,17
1507382072,28,6
1507382917,11,0
1507383757,11,16
1507386043,21,4
1507386879,5,10
1507388201,3,0
1507389043,7,2
1507391137,5,25
1507392642,1,20
1507393496,18,5
1507394737,26,5
1507395392,5,2
1507396230,2,1
1507397220,16,3
1507398345,10,31
1507399840,5,22
1507401207,20,9
1507402114,16,1
1507403449,18,10
1507404466,9,0
1507406491,2,56
1507407345,3,1
1507408245,1,31
1507409149,3,16
1507409801,0,5
1507410641,10,26
1507411485,10,2
1507412461,11,15
1507413346,7,0
1507414243,1,23
1507416159,9,16
1507416992,14,6
1507417842,21,33
1507418719,3,5
1507419645,7,12
1507420848,13,10
1507421737,10,0
1507422914,24,20
1507423842,7,10
1507425282,13,12
1507426249,2,2
1507426959,0,2
1507427801,0,2
1507428643,3,5
1507429532,4,2
1507430455,10,10
1507431341,15,0
1507432249,37,3
1507433444,26,2
1507434282,8,1
1507435478,15,1
1507436434,17,0
1507437328,19,1
1507437760,4,0
1507439748,28,3
1507441147,19,7
1507442193,19,0
1507443047,1,3
1507444119,4,0
1507445144,9,3
1507446251,6,0
1507447247,12,0
1507448502,15,2
1507450060,34,1
1507452311,25,1
1507453004,1,0
1507453851,6,2
1507454675,0,2
1507455632,0,1
1507456544,1,2
1507457445,10,1
1507458625,4,2
1507459365,12,0
1507460708,28,2
1507461644,4,0
1507462487,11,5
1507464093,31,2
1507464947,6,1
1507465832,5,3
1507466743,3,0
1507467779,8,0
1507468845,12,1
1507469319,1,6
1507470338,10,5
1507472073,15,16
1507472906,5,3
1507473754,0,3
1507474638,2,5
1507475443,6,0
1507477354,9,3
1507478498,8,0
1507479280,8,1
1507480241,1,3
1507480957,2,4
1507482880,5,12
1507484735,3,0
1507486474,9,15
1507487307,11,3
1507488341,8,1
1507488998,3,0
1507489839,2,0
1507490925,9,0
1507491777,12,3
1507493194,13,3
1507494043,7,0
1507495254,1,0
1507496202,2,8
1507497045,5,4
1507497940,5,4
1507498849,5,4
1507499737,4,6
1507500645,7,0
1507500886,5,0
1507501847,9,0
1507502568,7,2
1507503394,2,0
1507504245,2,1
1507506153,5,2
1507507729,5,1
1507509644,5,0
1507510596,2,0
1507511449,0,1
1507513253,0,3
1507514138,1,0
1507515037,0,2
1507516120,0,1
1507518873,0,1
1507520443,0,2
1507522249,1,1
1507524042,1,2
1507524943,2,0
1507525847,1,3
1507526914,0,1
1507527824,0,2
1507529455,2,0
1507531538,0,1
1507533279,0,3
1507534242,0,3
1507535061,1,0
1507536879,0,1
1507537843,0,1
1507538556,2,0
1507541316,5,4
1507542232,0,2
1507543846,1,3
1507545759,2,12
1507546591,0,12
1507547446,1,4
1507549248,0,10
1507551042,0,5
1507552956,0,17
1507554872,2,4
1507555843,1,10
1507556555,1,0
1507557771,0,12
1507558827,3,2
1507559312,1,0
1507560152,1,3
1507561162,0,1
1507562143,1,0
1507563943,1,9
1507564593,0,2
1507565444,1,2
1507566866,0,8
1507567834,0,4
1507569042,2,1
1507570956,2,14
1507571928,15,5
1507572882,9,1
1507573730,5,1
1507574560,5,14
1507575925,16,0
1507576853,8,0
1507580076,33,5
1507581047,21,8
1507581754,7,1
1507583455,12,12
1507584490,9,1
1507585535,8,10
1507587041,16,8
1507588124,3,0
1507589145,2,11
1507589981,3,4
1507590946,4,3
1507591845,7,12
1507592751,1,3
1507593393,1,0
1507594247,0,10
1507596164,1,3
1507597844,13,1
1507599343,27,6
1507600677,7,1
1507601746,5,17
1507602512,4,5
1507603367,0,18
1507604569,3,7
1507605649,13,0
1507606951,13,18
1507608647,9,15
1507609563,8,0
1507610551,11,10
1507612108,16,11
1507613089,0,3
1507614049,0,8
1507614931,0,12
1507615846,5,7
1507616674,1,0
1507617646,0,15
1507618773,2,11
1507619750,0,2
1507620807,7,14
1507621354,2,2
1507623276,11,20
1507624958,23,1
1507625810,6,1
1507626645,2,7
1507628559,1,4
1507629837,8,25
1507630772,7,0
1507631744,5,10
1507632713,1,5
1507633716,11,15
1507634699,18,2
1507635632,7,12
1507636671,4,0
1507637661,12,12
1507638636,4,6
1507639638,0,4
1507640609,0,9
1507642528,0,8
1507644637,0,4
1507646446,0,7
1507648239,0,5
1507649793,0,5
1507651838,0,3
1507653757,0,7
1507655676,0,4
1507656638,0,9
1507657538,0,5
1507658640,0,3
1507660520,0,12
1507661391,0,8
1507662450,0,10
1507664549,0,14
1507665595,0,3
1507668719,0,12
1507669765,0,6
1507671753,0,23
1507672893,0,8
1507675678,0,2
1507677040,0,5
1507678957,0,7
1507680157,0,2
1507682189,0,1
1507684240,0,1
1507686338,0,2
1507691440,0,1
1507694134,0,1
1507695039,0,1
1507696235,0,2
1507698637,0,1
1507700739,0,2
1507706074,0,1
1507708763,0,1
1507711367,0,4
1507713053,0,1
1507715082,0,5
1507718553,0,2
1507720473,0,1
1507722158,0,2
1507723551,0,1
1507725259,0,3
1507727438,0,1
1507728635,0,2
1507730881,0,1
1507733133,0,1
1507734639,0,1
1507738175,0,1
1507740334,0,3
1507741286,0,7
1507743934,0,13
1507747328,0,34
1507748350,0,10
1507749335,0,1
1507750236,0,48
1507752638,0,18
1507754736,0,24
1507756238,0,18
1507758332,0,20
1507759813,0,11
1507761790,0,11
1507762848,0,3
1507764634,0,3
1507767038,0,5
1507769132,0,82
1507770640,0,19
1507772720,0,28
1507774238,0,7
1507776155,0,51
1507778071,0,8
1507779037,0,44
1507779933,0,23
1507781437,0,42
1507783362,0,5
1507785021,0,2
1507786234,0,4
1507788174,0,8
1507789834,0,16
1507790554,0,12
1507791676,0,19
1507793436,0,62
1507794166,0,17
1507795295,0,13
1507797038,0,11
1507797761,0,1
1507798852,0,15
1507801354,0,56
1507803039,0,28
1507805095,0,64
1507806636,0,34
1507925672,64,40
1507927244,5,0
1507928140,2,0
1507929041,2,0
1507930112,18,0
1507931140,13,0
1507932065,9,0
1507932959,10,0
1507933713,5,0
1507934570,5,0
1507936246,19,1
1507937315,14,0
1507938161,8,0
1507939841,12,0
1507940917,29,1
1507941755,55,0
1507944315,48,1
1507946376,5,0
1507947347,6,1
1507948231,11,0
1507948967,20,0
1507950873,43,0
1507952053,28,0
1507954540,20,0
1507955447,0,1
1507956164,2,0
1507956995,6,1
1507957835,5,1
1507958714,12,0
1507959644,14,0
1507960550,20,0
1507961443,17,0
1507962510,47,0
1507963756,56,0
1507965063,85,1
1507967145,67,0
1507968266,0,1
1507969253,2,0
1507971024,14,1
1507972073,17,0
1507973982,7,0
1507974169,1,0
1507975310,3,0
1507976148,9,1
1507977761,26,2
1507978593,10,0
1507979442,17,0
1507980642,12,0
1507981544,6,0
1507982380,11,1
1507983232,14,1
1507984531,23,1
1507984959,12,0
1507986872,34,1
1507988445,24,1
1507989331,12,0
1507990241,8,0
1507991446,11,0
1507992949,2,1
1507993849,1,0
1507994836,2,0
1507996586,1,0
1507997448,1,0
1507998512,3,0
1508000509,1,1
1508001350,7,0
1508002664,15,0
1508003742,13,0
1508004648,4,0
1508005722,7,2
1508006744,5,0
1508008480,11,0
1508009446,11,1
1508010339,17,2
1508012079,15,0
1508012913,10,0
1508013946,9,3
1508015445,2,0
1508017353,6,1
1508019044,39,2
1508020258,11,1
1508022283,12,1
1508023241,19,1
1508024143,9,1
1508027131,5,3
1508028168,5,0
1508030074,12,2
1508030925,8,0
1508031755,9,1
1508033449,13,1
1508034632,5,3
1508035543,2,0
1508036194,2,0
1508037041,2,1
1508037277,2,0
1508038494,17,0
1508039624,9,3
1508040648,1,1
1508042719,10,1
1508043690,12,0
1508044475,8,0
1508045438,6,0
1508047459,21,0
1508048457,5,1
1508048929,2,0
1508049939,1,0
1508051441,2,1
1508054119,3,0
1508056959,1,1
1508059526,0,1
1508062240,3,0
