DateTime,AddedIPs,RemovedIPs
1507359367,222,0
1507360206,281,70
1507360447,73,0
1507361418,310,173
1507362307,266,63
1507363296,291,124
1507364108,140,0
1507365008,209,150
1507365728,176,54
1507366567,248,0
1507367406,165,110
1507368307,215,0
1507369327,346,201
1507370452,292,84
1507371306,214,1
1507372087,227,0
1507373107,258,205
1507374607,407,109
1507375686,295,0
1507376707,280,182
1507377366,158,0
1507378207,223,113
1507379287,264,1
1507380128,271,212
1507382046,485,108
1507382887,237,0
1507383728,216,164
1507386007,655,78
1507386816,214,169
1507388166,361,93
1507389007,258,184
1507390072,224,1
1507391107,162,248
1507391767,120,0
1507392607,205,146
1507393469,199,0
1507394707,258,205
1507395366,162,0
1507396183,202,130
1507397189,212,0
1507398307,244,272
1507399806,360,133
1507401143,331,150
1507402073,214,47
1507403407,325,129
1507404413,193,0
1507405507,209,195
1507406446,135,190
1507407307,180,0
1507408207,180,196
1507409108,127,59
1507409766,114,1
1507410587,135,160
1507411455,127,0
1507412406,143,168
1507413320,127,0
1507414208,121,186
1507416127,284,214
1507416967,135,0
1507417807,126,139
1507418693,115,0
1507419606,123,215
1507420766,165,124
1507421706,118,18
1507422888,166,213
1507423806,128,84
1507425247,163,134
1507426206,136,175
1507426929,108,64
1507427767,119,0
1507428607,96,138
1507429507,136,2
1507430412,118,214
1507431307,113,1
1507432207,162,97
1507433408,204,167
1507434243,119,78
1507435044,140,0
1507436107,157,138
1507437008,175,140
1507437729,127,85
1507438863,205,128
1507439706,151,0
1507441064,273,200
1507442167,199,42
1507443006,164,164
1507444087,191,1
1507445107,210,294
1507446193,130,182
1507447207,154,0
1507448464,183,441
1507450018,278,300
1507452280,387,474
1507452967,155,0
1507453807,161,255
1507454634,142,0
1507455607,208,449
1507456506,167,0
1507457406,208,240
1507458536,252,0
1507459327,175,627
1507460682,259,236
1507461607,179,1
1507462454,184,344
1507464045,327,401
1507464907,185,1
1507465810,185,325
1507466707,206,121
1507467720,194,299
1507468806,233,0
1507469287,96,0
1507470307,196,400
1507472046,365,435
1507472879,155,0
1507473727,161,510
1507474608,187,0
1507475407,151,227
1507477327,293,345
1507478448,133,203
1507479247,123,0
1507480207,174,303
1507480927,105,108
1507482847,329,270
1507483807,117,344
1507484706,165,134
1507486447,273,242
1507487280,158,0
1507488307,167,509
1507488966,101,0
1507489805,0,40988
1507490887,41068,0
1507491748,129,447
1507493153,254,250
1507494006,104,0
1507495207,181,347
1507496166,143,0
1507497007,112,195
1507497915,122,0
1507498806,137,412
1507499707,112,0
1507500607,112,192
1507500855,31,0
1507501808,133,255
1507502527,90,88
1507503367,114,0
1507504207,127,201
1507506128,225,335
1507507703,208,213
1507509606,275,449
1507510567,176,0
1507511407,136,233
1507513207,332,455
1507514107,176,1
1507515007,196,278
1507516087,226,1
1507517548,291,517
1507518847,268,228
1507520406,379,552
1507521307,217,0
1507522206,191,290
1507523107,136,0
1507524007,340,549
1507524906,238,0
1507525807,229,338
1507526887,289,0
1507527795,202,560
1507529408,438,312
1507530307,235,1
1507531507,297,639
1507533247,274,335
1507534206,206,323
1507535035,148,145
1507536847,402,308
1507537808,225,388
1507538527,142,168
1507540207,407,382
1507541289,265,0
1507542196,289,577
