DateTime,AddedIPs,RemovedIPs
1507304434,5,5
1507305386,2,0
1507306235,3,1
1507308334,3,7
1507309834,5,3
1507310906,2,1
1507312611,1,4
1507313443,3,0
1507314632,2,5
1507315529,1,2
1507317925,2,3
1507320140,5,6
1507320942,0,1
1507321707,1,0
1507322602,2,3
1507324481,2,4
1507325437,3,4
1507327283,2,3
1507328138,4,0
1507329360,5,2
1507330520,4,4
1507331439,1,1
1507333235,3,4
1507335035,1,2
1507336840,2,9
1507337759,3,0
1507338636,4,0
1507339839,3,2
1507340766,3,1
1507342465,8,6
1507343724,5,3
1507344153,0,2
1507345841,4,4
1507347933,5,5
1507349441,2,2
1507350516,3,0
1507351534,2,9
1507352978,7,6
1507354238,2,7
1507355123,3,0
1507356085,1,4
1507356939,3,0
1507357706,2,0
1507358543,2,13
1507359395,4,0
1507360235,1,3
1507361441,2,3
1507362336,2,4
1507363321,1,2
1507364143,3,1
1507365040,1,5
1507365758,3,2
1507366585,1,0
1507367422,0,5
1507368333,2,0
1507369354,1,3
1507370482,2,3
1507371335,2,0
1507372106,1,0
1507373138,3,5
1507374635,3,3
1507375711,3,0
1507376739,3,6
1507377386,2,0
1507378242,7,6
1507379308,2,0
1507380160,2,6
1507382066,4,2
1507382911,1,0
1507383751,1,3
1507386037,11,3
1507386856,2,3
1507388194,6,4
1507389037,2,2
1507390092,2,0
1507391132,2,3
1507393490,5,1
1507394730,2,9
1507396216,0,4
1507397214,2,0
1507398338,1,5
1507399834,3,4
1507401171,4,4
1507402107,3,1
1507403443,2,0
1507404451,3,0
1507405534,0,7
1507406475,2,6
1507407339,3,0
1507408237,2,1
1507409142,4,1
1507409796,2,1
1507410626,0,8
1507411478,2,0
1507412450,2,3
1507413340,2,0
1507414237,0,3
1507416153,8,4
1507416986,1,0
1507417836,0,6
1507419638,0,9
1507420802,2,8
1507421731,2,2
1507422908,3,8
1507423836,0,3
1507425275,4,6
1507426242,1,7
1507426953,3,2
1507427794,1,0
1507428636,0,7
1507429526,2,1
1507430444,6,2
1507431335,3,1
1507432243,3,2
1507433438,1,7
1507434276,3,2
1507435472,4,0
1507436428,5,0
1507437322,4,5
1507438906,4,5
1507439741,2,0
1507441090,3,14
1507442187,1,0
1507443040,4,8
1507444113,5,1
1507445133,5,14
1507446223,3,5
1507447241,4,1
1507448495,4,18
1507450053,8,10
1507452297,4,18
1507452998,2,0
1507453845,0,4
1507454670,2,0
1507455626,3,13
1507456538,3,0
1507457439,2,11
1507458604,3,7
1507459359,4,0
1507460702,4,5
1507462482,2,3
1507464078,6,3
1507464940,1,0
1507465822,6,7
1507466736,3,1
1507467758,0,1
1507468839,4,0
1507469311,1,0
1507470331,4,2
1507472067,6,3
1507472899,0,1
1507473748,2,5
1507474632,1,0
1507475437,1,4
1507477349,3,6
1507478482,2,4
1507479273,1,0
1507480235,1,4
1507480950,1,1
1507482874,5,5
1507483838,2,4
1507484729,2,0
1507486468,3,2
1507487300,2,0
1507488334,4,1
1507488992,3,0
1507489833,0,3
1507490919,2,0
1507491771,0,2
1507493188,1,2
1507495243,2,2
1507496197,1,0
1507497039,2,3
1507498843,6,7
1507499732,2,0
1507500638,3,6
1507501839,1,4
1507502563,3,1
1507504239,2,0
1507506147,2,3
1507507722,3,3
1507509638,3,8
1507510590,2,0
1507511443,2,2
1507513246,7,7
1507514132,4,0
1507515032,2,3
1507516114,8,0
1507517567,6,4
1507518867,8,0
1507520437,11,6
1507521327,5,0
1507522243,9,3
1507523127,4,0
1507524036,5,6
1507524937,6,0
1507525841,3,4
1507526908,1,0
1507527817,0,7
1507529448,1,2
1507530337,4,0
1507531531,3,3
1507533273,9,3
1507534236,1,4
1507535055,4,2
1507536873,10,4
1507537837,2,2
1507538549,4,0
1507540236,9,3
1507541310,1,0
1507542224,2,3
1507543840,11,5
1507545753,4,6
1507546586,1,0
1507547441,3,4
1507549242,8,6
1507551036,9,1
1507552107,1,0
1507552950,2,4
1507554867,4,2
1507555837,2,5
1507556549,0,1
1507557738,2,4
1507558821,7,0
1507560146,1,5
1507561156,3,4
1507562137,2,1
1507563937,5,4
1507564587,1,0
1507565438,2,1
1507566836,3,4
1507567827,6,1
1507569036,2,1
1507570948,1,5
1507571879,1,0
1507572876,5,3
1507573724,4,0
1507574554,2,2
1507576846,7,1
1507580070,9,8
1507581039,0,3
1507581747,2,1
1507583449,4,2
1507584485,3,0
1507585529,2,7
1507587035,1,0
1507588118,6,0
1507589139,3,1
1507589975,1,3
1507590940,3,1
1507591838,2,4
1507592745,2,3
1507593387,3,0
1507594241,3,1
1507594466,1,0
1507596158,3,10
1507597838,7,1
1507599338,2,1
1507600671,8,4
1507602506,4,4
1507603361,4,5
1507604558,4,4
1507605643,3,0
1507606945,4,9
1507608641,15,5
1507609556,3,0
1507610545,3,6
1507612100,2,3
1507613083,6,0
1507614925,8,5
1507615840,3,5
1507616663,7,0
1507617641,3,11
1507618760,7,6
1507619744,4,0
1507620802,5,3
1507621348,2,2
1507624529,14,9
1507625800,1,0
1507626639,4,5
1507627709,5,0
1507628552,5,4
1507629821,5,4
1507630765,2,0
1507631738,1,4
1507632706,2,0
1507633710,3,6
1507634692,1,0
1507635625,4,9
1507636665,1,0
1507637640,3,2
1507638628,1,4
1507639630,0,1
1507640603,0,3
1507642522,0,1
1507644631,0,2
1507646440,0,6
1507648233,0,1
1507649787,0,3
1507651832,0,2
1507653751,0,4
1507655669,0,3
1507656630,0,5
1507657531,0,2
1507658633,0,2
1507660514,0,1
