DateTime,Entries,UniqueIPs
1507359367,40620,40620
1507360206,40831,40831
1507360447,40904,40904
1507361418,41041,41041
1507362307,41244,41244
1507363296,41411,41411
1507364108,41551,41551
1507365008,41610,41610
1507365728,41732,41732
1507366567,41980,41980
1507367406,42035,42035
1507368307,42250,42250
1507369327,42395,42395
1507370452,42603,42603
1507371306,42816,42816
1507372087,43043,43043
1507373107,43096,43096
1507374607,43394,43394
1507375686,43689,43689
1507376707,43787,43787
1507377366,43945,43945
1507378207,44055,44055
1507379287,44318,44318
1507380128,44377,44377
1507382046,44754,44754
1507382887,44991,44991
1507383728,45043,45043
1507386007,45620,45620
1507386816,45665,45665
1507388166,45933,45933
1507389007,46007,46007
1507390072,46230,46230
1507391107,46144,46144
1507391767,46264,46264
1507392607,46323,46323
1507393469,46522,46522
1507394707,46575,46575
1507395366,46737,46737
1507396183,46809,46809
1507397189,47021,47021
1507398307,46993,46993
1507399806,47220,47220
1507401143,47401,47401
1507402073,47568,47568
1507403407,47764,47764
1507404413,47957,47957
1507405507,47971,47971
1507406446,47916,47916
1507407307,48096,48096
1507408207,48080,48080
1507409108,48148,48148
1507409766,48261,48261
1507410587,48236,48236
1507411455,48363,48363
1507412406,48338,48338
1507413320,48465,48465
1507414208,48400,48400
1507416127,48470,48470
1507416967,48605,48605
1507417807,48592,48592
1507418693,48707,48707
1507419606,48615,48615
1507420766,48656,48656
1507421706,48756,48756
1507422888,48709,48709
1507423806,48753,48753
1507425247,48782,48782
1507426206,48743,48743
1507426929,48787,48787
1507427767,48906,48906
1507428607,48864,48864
1507429507,48998,48998
1507430412,48902,48902
1507431307,49014,49014
1507432207,49079,49079
1507433408,49116,49116
1507434243,49157,49157
1507435044,49297,49297
1507436107,49316,49316
1507437008,49351,49351
1507437729,49393,49393
1507438863,49470,49470
1507439706,49621,49621
1507441064,49694,49694
1507442167,49851,49851
1507443006,49851,49851
1507444087,50041,50041
1507445107,49957,49957
1507446193,49905,49905
1507447207,50059,50059
1507448464,49801,49801
1507450018,49779,49779
1507452280,49692,49692
1507452967,49847,49847
