DateTime,AddedIPs,RemovedIPs
1507333234,13,38
1507334150,15,2
1507335033,14,36
1507336839,19,43
1507337759,15,1
1507338636,4,24
1507339838,11,34
1507340734,14,19
1507342464,18,22
1507343723,14,47
1507344151,2,14
1507345840,36,19
1507347933,20,56
1507349438,13,28
1507350515,16,5
1507351533,15,41
1507352976,16,30
1507354236,19,24
1507356079,13,30
1507356938,11,3
1507357705,11,0
1507358542,18,34
1507359394,8,3
1507360234,8,17
1507360470,2,3
1507361440,9,30
1507362335,11,7
1507363320,16,18
1507364141,20,2
1507365039,9,33
1507365757,6,16
1507366584,32,1
1507368333,22,22
1507369354,24,39
1507370480,15,15
1507371334,14,2
1507372105,12,1
1507373138,8,42
1507374634,17,30
1507375710,8,5
1507376738,15,44
1507377385,7,7
1507378241,9,26
1507379307,16,5
1507380159,12,46
1507382065,28,18
1507382910,16,2
1507383750,11,41
1507386036,37,27
1507386851,11,26
1507388193,12,16
1507389036,6,23
1507390092,16,5
1507391131,18,38
1507391799,7,3
1507393489,43,18
1507394729,11,34
1507395385,10,1
1507396202,10,33
1507397209,21,8
1507398337,10,43
1507399833,14,16
1507401168,9,33
1507402104,10,16
1507403442,13,13
1507404446,10,3
1507405533,16,44
1507406470,14,42
1507407338,14,3
1507408236,12,34
1507409141,9,15
1507409795,14,0
1507410620,10,41
1507411477,14,6
1507412449,13,21
1507413339,7,1
1507414237,15,27
1507416152,22,31
1507416985,11,4
1507417835,5,23
1507418713,6,9
1507419638,16,47
1507420802,15,35
1507421731,13,9
1507422907,12,43
1507423835,9,20
1507425274,22,31
1507426241,8,35
1507426952,15,13
1507427793,19,2
1507428635,8,26
1507429526,5,4
1507430442,10,28
1507431334,5,11
1507432242,7,17
1507433435,10,21
1507434275,3,13
1507435470,7,25
1507436427,9,2
1507437321,8,23
1507437753,4,7
1507438905,12,20
1507439739,7,3
1507441084,11,29
1507442186,14,11
1507443038,8,24
1507444112,11,1
1507445132,6,33
1507446222,7,13
1507447240,13,4
1507448494,12,23
1507450048,19,22
1507452296,11,43
1507452997,9,4
1507453844,12,35
1507454669,14,5
1507455625,8,33
1507456538,10,3
1507457438,11,19
1507457666,3,0
1507458600,14,19
1507459358,14,13
1507460701,10,21
1507461637,10,5
1507462481,18,23
1507464072,23,34
1507464939,14,2
1507466735,39,38
1507467756,9,12
1507468838,13,2
1507469310,5,5
1507470330,8,22
1507472066,14,27
1507472899,5,2
1507473747,6,34
1507474631,12,3
1507475436,10,24
1507477348,22,40
1507478476,15,17
1507479272,12,2
1507480234,11,18
1507480949,3,13
1507482873,23,26
1507483837,12,34
1507484728,13,15
1507486467,49,15
1507487300,21,9
1507488333,18,30
1507488991,8,5
1507489832,14,18
1507490918,16,7
1507491770,11,34
1507493187,26,17
1507494036,16,9
1507495241,15,26
1507496196,17,10
1507497038,22,26
1507497934,10,4
1507498842,8,31
1507499731,8,4
1507500638,15,17
1507501838,26,14
1507502562,15,17
1507503387,15,4
1507504238,25,21
1507506147,19,26
1507507721,20,17
1507509637,23,21
1507510590,12,2
1507511442,13,13
1507513246,16,12
1507514132,8,8
1507515031,8,30
1507516113,10,2
1507517566,16,22
1507518867,15,15
1507520436,17,34
1507521326,4,6
1507522242,11,16
1507523126,11,3
1507524036,26,20
1507524936,9,5
1507525840,6,11
1507526907,20,3
1507527816,5,39
1507529446,17,5
1507530336,13,5
1507531530,9,26
1507533272,20,19
1507534235,14,30
1507535054,9,9
1507536872,22,32
1507537835,12,29
1507538549,6,18
1507540235,18,31
1507541309,15,5
1507542223,11,30
1507543839,20,20
1507545752,29,30
1507546585,7,4
1507547440,7,16
1507549241,28,28
1507551035,33,20
1507552106,14,10
1507552949,10,30
1507554866,27,23
1507555836,13,27
1507556548,16,3
1507557740,28,14
1507558819,18,6
1507560146,42,25
1507561150,15,19
1507562136,10,6
1507562911,19,8
1507563936,17,36
1507564586,7,4
1507565437,14,17
1507566835,17,27
1507567827,17,9
1507569035,22,11
1507570947,39,24
1507571878,19,2
1507572875,11,10
1507573724,5,5
1507574553,12,24
1507576845,30,18
1507580069,30,47
1507581036,7,18
1507581746,12,2
1507583448,29,23
1507584484,12,5
1507585528,13,23
1507587035,26,17
1507588117,20,3
1507589138,12,21
1507589974,11,14
1507590938,24,4
1507591837,9,16
1507592743,8,8
1507593385,8,4
1507594240,13,16
1507594465,6,1
1507596157,15,24
1507597837,17,27
1507599337,14,12
1507600670,17,14
1507602505,14,12
1507603360,9,8
1507604554,16,10
1507605642,8,7
1507606945,16,13
1507608640,13,15
1507609554,4,7
1507610544,11,11
1507612097,23,16
1507613082,5,4
1507614925,24,20
1507615839,16,9
1507616660,11,1
1507617640,16,20
1507618762,24,13
1507619742,6,7
1507620800,12,10
1507621347,9,4
1507624528,52,28
1507624950,2,6
1507625799,10,7
1507626638,17,12
1507627708,16,2
1507628551,9,31
1507629812,15,23
1507630762,18,1
1507631737,16,22
1507632705,9,10
1507633709,20,17
1507634691,16,4
1507635624,14,26
1507636664,20,3
1507637640,11,24
1507638625,1,12
1507639625,0,3
1507640599,0,6
1507642521,0,8
1507644631,0,11
1507645485,0,1
1507646439,0,16
1507648232,0,7
1507649786,0,14
1507651831,0,10
1507653750,0,17
1507655668,0,24
1507656631,0,20
1507657530,0,3
1507658633,0,10
1507660513,0,33
1507661384,0,2
1507662438,0,24
1507664542,0,20
1507665588,0,13
1507666493,0,3
1507668712,0,15
1507669758,0,9
1507671746,0,35
1507672881,0,18
1507675670,0,23
1507677033,0,15
1507678950,0,20
1507680926,0,14
1507681822,0,7
1507682728,0,6
1507684233,0,8
1507686331,0,22
1507687411,0,6
1507689026,0,10
1507689833,0,5
1507691433,0,5
1507694127,0,22
1507695032,0,3
1507696228,0,20
1507696951,0,4
1507698630,0,2
1507700732,0,18
1507702233,0,8
1507706067,0,20
1507707749,0,17
1507709668,0,12
1507711360,0,11
1507713044,0,7
1507715073,0,41
1507716631,0,7
1507718546,0,13
1507720467,0,30
1507722151,0,19
1507723544,0,14
1507725252,0,13
1507727431,0,27
1507728628,0,30
1507730874,0,26
1507733126,0,26
1507734633,0,15
1507736547,0,18
1507738168,0,19
1507740328,0,73
1507741270,0,20
1507743927,0,11
1507747321,0,48
1507748335,0,10
1507750229,0,16
1507752631,0,29
1507754729,0,24
1507756231,0,9
1507758325,0,28
1507760908,0,16
1507761781,0,35
1507762804,0,10
1507764627,0,25
1507765526,0,2
1507767031,0,8
1507769125,0,22
1507770633,0,11
1507774231,0,24
1507776148,0,21
1507778064,0,9
1507779030,0,2
1507779926,0,8
1507781431,0,17
1507783354,0,23
1507786227,0,36
1507787132,0,7
1507788160,0,21
1507789827,0,9
