DateTime,Entries,UniqueIPs
1507333234,3055,3055
1507334150,3068,3068
1507335033,3046,3046
1507336839,3022,3022
1507337759,3036,3036
1507338636,3016,3016
1507339838,2993,2993
1507340734,2988,2988
1507342464,2984,2984
1507343723,2951,2951
1507344151,2939,2939
1507345840,2956,2956
1507347933,2920,2920
1507349438,2905,2905
1507350515,2916,2916
1507351533,2890,2890
1507352976,2876,2876
1507354236,2871,2871
1507356079,2854,2854
1507356938,2862,2862
1507357705,2873,2873
1507358542,2857,2857
1507359394,2862,2862
1507360234,2853,2853
1507360470,2852,2852
1507361440,2831,2831
1507362335,2835,2835
1507363320,2833,2833
1507364141,2851,2851
1507365039,2827,2827
1507365757,2817,2817
1507366584,2848,2848
1507368333,2848,2848
1507369354,2833,2833
1507370480,2833,2833
1507371334,2845,2845
1507372105,2856,2856
1507373138,2822,2822
1507374634,2809,2809
1507375710,2812,2812
1507376738,2783,2783
1507377385,2783,2783
1507378241,2766,2766
1507379307,2777,2777
1507380159,2743,2743
1507382065,2753,2753
1507382910,2767,2767
1507383750,2737,2737
1507386036,2747,2747
1507386851,2732,2732
1507388193,2728,2728
1507389036,2711,2711
1507390092,2722,2722
1507391131,2702,2702
1507391799,2706,2706
1507393489,2731,2731
1507394729,2708,2708
1507395385,2717,2717
1507396202,2694,2694
1507397209,2707,2707
1507398337,2674,2674
1507399833,2672,2672
1507401168,2648,2648
1507402104,2642,2642
1507403442,2642,2642
1507404446,2649,2649
1507405533,2621,2621
1507406470,2593,2593
1507407338,2604,2604
1507408236,2582,2582
1507409141,2576,2576
1507409795,2590,2590
1507410620,2559,2559
1507411477,2567,2567
1507412449,2559,2559
1507413339,2565,2565
1507414237,2553,2553
1507416152,2544,2544
1507416985,2551,2551
1507417835,2533,2533
1507418713,2530,2530
1507419638,2499,2499
1507420802,2479,2479
1507421731,2483,2483
1507422907,2452,2452
1507423835,2441,2441
1507425274,2432,2432
1507426241,2405,2405
1507426952,2407,2407
1507427793,2424,2424
1507428635,2406,2406
1507429526,2407,2407
1507430442,2389,2389
1507431334,2383,2383
1507432242,2373,2373
1507433435,2362,2362
1507434275,2352,2352
1507435470,2334,2334
1507436427,2341,2341
1507437321,2326,2326
1507437753,2323,2323
1507438905,2315,2315
1507439739,2319,2319
1507441084,2301,2301
1507442186,2304,2304
1507443038,2288,2288
1507444112,2298,2298
1507445132,2271,2271
1507446222,2265,2265
