DateTime,AddedIPs,RemovedIPs
1507361434,270,124
1507362330,204,49
1507363311,238,83
1507364134,100,0
1507365033,170,94
1507365752,135,36
1507366580,201,0
1507367417,0,22440
1507368328,22673,0
1507369349,260,129
1507370469,246,46
1507371330,162,0
1507372101,194,0
1507373133,208,120
1507374630,328,67
1507375706,237,0
1507376732,211,114
1507377381,114,0
1507378237,175,70
1507379303,212,3
1507380155,219,122
1507382061,355,67
1507382906,195,2
1507383745,168,64
1507386028,522,33
1507386840,157,106
1507388185,289,76
1507389032,216,140
1507390087,177,1
1507391127,117,148
1507391791,98,0
1507392632,0,26225
1507393484,26428,0
1507394723,179,129
1507395381,119,0
1507396198,169,77
1507397204,161,4
1507398331,185,126
1507399829,276,56
1507401161,244,74
1507402088,161,35
1507403438,250,83
1507404435,144,2
1507405528,170,109
1507406463,97,104
1507407330,148,1
1507408232,139,106
1507409137,81,25
1507409791,84,1
1507410602,94,86
1507411473,76,3
1507412441,95,91
1507413335,88,3
1507414232,82,115
1507416147,186,114
1507416981,90,3
1507417831,80,61
1507418708,74,2
1507419633,99,116
1507420793,104,83
1507421726,65,16
1507422902,95,123
1507423828,88,51
1507425269,97,80
1507426230,88,105
1507426948,81,40
1507427789,82,0
1507428630,67,91
1507429521,100,2
1507430433,72,123
1507431329,69,2
1507432238,99,68
1507433431,126,113
1507434268,81,54
1507435465,131,83
1507436423,67,4
1507437317,155,93
1507437749,46,60
1507438891,138,83
1507439729,113,0
1507441080,199,106
1507442182,145,28
1507443034,125,103
1507444108,140,2
1507445127,156,205
1507446217,84,127
1507447232,98,1
1507448486,123,321
1507450035,171,239
1507452289,0,29272
1507452992,29323,0
1507453839,127,186
1507454655,111,0
1507455621,163,313
1507456530,122,0
1507457434,158,160
1507457661,24,0
1507458586,119,221
1507459349,127,71
1507460696,187,165
1507461629,138,0
1507462476,131,224
1507464061,224,259
1507464932,130,3
1507465820,0,29482
1507466731,29498,0
1507467742,143,180
1507468830,167,1
1507469305,76,0
1507470324,154,258
1507472062,282,248
1507472894,119,0
1507473743,116,331
1507474627,147,0
1507475432,115,168
1507477343,190,244
1507478465,92,162
1507479268,83,2
1507480228,133,240
1507480944,71,81
1507482868,250,210
1507483826,76,265
1507484723,118,111
1507486463,230,194
1507487295,123,5
1507488327,113,406
1507488987,62,1
1507489827,116,185
1507490914,110,2
1507491764,80,350
1507493175,187,202
1507494032,76,6
1507495233,135,265
1507496188,115,1
1507497034,79,140
1507497929,92,2
1507498828,102,313
1507499727,71,4
1507500633,65,143
1507500875,0,28866
1507501832,28778,0
1507502555,62,67
1507503382,64,0
1507504233,80,161
1507506142,149,251
1507507717,133,169
1507509633,196,346
1507510585,135,0
1507511438,106,185
1507513236,250,348
1507514127,147,1
1507515021,0,28572
1507516109,28687,0
1507517562,234,425
1507518862,218,182
1507520431,296,457
1507521322,176,1
1507522238,146,240
1507523122,104,0
1507524031,312,443
1507524932,189,0
1507525836,191,285
1507526902,240,0
1507527811,177,469
1507529437,372,268
1507530331,185,0
1507531526,237,542
1507533268,191,268
1507534231,155,260
1507535050,111,108
1507536867,310,249
1507537825,180,304
1507538544,109,137
1507540230,334,282
1507541305,219,0
1507542218,253,473
1507543834,462,347
1507545747,530,459
1507546580,210,0
1507547436,224,243
1507549231,352,529
1507551031,316,236
1507552102,181,0
1507552945,121,450
