DateTime,AddedIPs,RemovedIPs
1506989435,1,2
1506990632,1,2
1506992185,1,0
1506993037,2,0
1506995460,3,0
1506996638,0,1
1506998556,2,1
1507002331,0,3
1507005934,1,1
1507007437,0,2
1507009536,0,300
1507011041,0,213
1507012402,2,230
1507013363,0,1
1507014639,0,2
1507015713,3,0
1507016737,0,2
1507017385,0,1
1507018242,0,3
1507019730,0,2
1507021837,0,1
1507023762,1,2
1507024596,1,0
1507031398,1,0
1507032274,1,1
1507033835,1,1
1507034734,0,1
1507035392,1,0
1507036235,0,1
1507038110,1,0
1507039274,0,1
1507041935,1,0
1507043438,0,2
1507044329,1,0
1507045240,0,1
1507047039,1,1
1507048959,1,1
1507050871,2,0
1507051844,0,1
1507055736,3,0
1507056926,1,1
1507057837,1,1
1507059924,0,2
1507062633,1,1
1507066836,1,2
1507069692,2,0
1507070735,1,0
1507072235,2,0
1507075834,0,1
1507079436,0,1
1507080636,0,1
1507081674,0,1
1507082503,1,0
1507084949,0,1
1507085786,1,0
1507086634,1,0
1507088737,0,2
1507091305,1,0
1507092146,1,1
1507094726,4,0
1507095569,0,2
1507098031,0,1
1507099349,1,2
1507102231,1,2
1507104086,0,4
1507104878,1,0
1507105838,2,2
1507106737,1,0
1507107387,1,0
1507108239,0,3
1507109439,0,1
1507111429,0,1
1507113632,0,1
1507115436,2,1
1507117236,1,1
1507119286,1,1
1507120237,0,1
1507122240,2,0
1507125688,1,1
1507126538,3,0
1507127439,2,2
1507129260,0,1
1507130135,0,1
1507131039,0,1
1507132594,1,0
1507133425,2,4
1507135555,2,3
1507137639,2,0
1507138843,0,1
1507140644,1,2
1507142554,2,2
1507144096,1,1
1507146331,1,0
1507147397,0,1
1507149039,0,1
1507149763,1,0
1507151437,1,1
1507154202,3,0
1507156240,2,1
1507158879,3,0
1507159837,2,2
1507160559,0,1
1507161391,0,1
1507162237,1,2
1507163077,2,0
1507164035,1,6
1507165282,1,0
1507166135,1,0
1507169434,2,0
1507170623,1,1
1507171533,2,1
1507173038,1,0
1507175426,1,1
1507176635,1,3
1507178440,2,1
1507179333,1,0
1507181432,0,1
1507183270,1,0
1507185034,0,2
1507185749,1,0
1507188507,0,1
1507189457,1,1
1507191346,2,0
1507192232,1,3
1507193117,3,1
1507194261,2,2
1507195053,1,0
1507196148,2,0
1507198842,4,1
1507199658,0,1
1507200503,1,0
1507203643,0,1
1507206635,2,1
1507209034,1,1
1507209926,0,1
1507210894,0,1
1507212634,1,0
1507214734,1,0
1507215419,1,0
1507217436,1,0
1507219764,3,1
1507220725,1,0
1507221746,0,2
1507226126,3,2
1507228223,1,0
1507234474,1,1
1507235456,0,2
1507239043,2,2
1507241433,1,3
1507243499,0,2
1507244795,1,0
1507246837,0,1
1507251396,1,0
1507252240,0,1
1507253441,3,1
1507255834,1,0
1507256907,1,0
1507257932,0,2
1507259744,2,0
1507261350,1,0
1507263036,0,1
1507265142,3,1
1507266082,2,1
1507266867,0,1
1507268740,1,0
1507271730,0,2
1507273842,1,1
1507275935,0,2
1507277668,1,0
1507278637,2,1
1507280136,2,0
1507281929,2,0
1507283777,2,0
1507285715,1,0
1507286555,1,1
1507288466,1,1
1507290295,0,1
1507291834,0,2
1507295677,2,1
1507296640,1,2
1507297498,14,0
1507299036,0,4
1507300108,2,0
1507301097,1,0
1507301785,1,0
1507304435,2,1
1507305386,2,0
1507306236,2,3
1507308335,2,1
1507309834,0,1
1507313443,1,0
1507315529,1,1
1507317926,2,1
1507318105,0,1
1507320140,1,4
1507320943,1,1
1507321708,1,0
1507322609,0,2
1507324481,1,3
1507325437,1,1
1507326335,2,0
1507327286,1,2
1507329360,0,2
1507330520,1,0
1507331440,1,0
1507333235,2,1
1507334151,3,0
1507336841,2,0
1507338637,0,2
1507339840,0,1
1507340767,1,0
1507342466,1,2
1507344153,0,1
1507345841,1,0
1507347934,0,4
1507349441,0,1
1507352978,1,3
1507354239,0,1
1507355124,0,1
1507356088,0,3
1507356939,1,0
1507357706,2,1
1507358543,3,0
1507359395,0,1
1507362337,1,1
1507363322,0,2
1507364143,0,1
1507365041,2,2
1507365758,0,1
1507366586,2,0
1507367422,0,2
1507369355,24,2
1507371335,1,0
1507373139,1,2
1507374635,0,1
1507378243,1,0
1507379308,0,1
1507380160,1,1
1507382066,2,1
1507382911,1,0
1507383751,0,1
1507386038,1,2
1507386863,1,0
1507389037,0,2
1507390093,1,0
1507391132,0,3
1507394730,0,1
1507396219,0,1
1507398339,1,1
1507399834,0,1
1507403443,2,1
1507404457,1,1
1507408237,2,1
1507409142,2,0
1507409796,1,1
1507411479,1,0
1507412451,1,0
1507413340,1,0
1507414238,1,0
1507416153,2,0
1507417837,1,0
1507419639,0,2
1507420803,1,1
1507422908,0,2
1507423836,1,0
1507425275,1,1
1507426954,0,1
1507428636,0,2
1507430444,1,2
1507432243,2,0
1507433438,0,1
1507434276,1,1
1507435472,0,1
1507436428,1,0
1507437755,0,1
1507439741,1,0
1507441095,1,0
1507442188,2,0
1507445133,1,0
1507446229,1,0
1507447241,0,2
1507448496,1,2
1507450053,1,0
1507452297,2,5
1507452998,1,0
1507453845,2,1
1507455626,2,0
1507459359,0,1
1507461638,1,1
1507464081,1,1
1507465826,0,2
1507466736,2,3
1507467762,0,7
1507470332,1,0
1507472067,1,0
1507473749,1,2
1507474632,2,0
1507475437,0,1
1507477349,0,1
1507480235,1,0
1507482874,0,2
1507483838,1,0
1507486468,0,1
1507488334,0,1
1507489833,1,0
1507490919,1,0
1507491771,1,1
1507493188,1,0
1507495243,1,1
1507496197,1,0
1507497039,0,1
1507498844,0,1
1507499732,1,0
1507500639,0,1
1507501840,1,1
1507502563,2,1
1507503388,1,0
1507506148,5,0
1507507722,3,0
1507509638,0,1
1507513247,3,0
1507514133,1,0
1507516114,1,0
1507518868,2,0
1507520437,2,0
