DateTime,AddedIPs,RemovedIPs
1507339825,54,56
1507340719,38,12
1507342456,76,31
1507343714,54,40
1507344139,10,19
1507345825,61,36
1507347918,89,55
1507349425,58,21
1507350501,45,0
1507351520,39,64
1507352964,69,41
1507354219,56,36
1507356057,80,50
1507356919,36,1
1507357696,28,2
1507358533,29,66
1507359382,34,1
1507360225,40,29
1507360457,10,0
1507361427,47,43
1507362320,41,10
1507363305,50,30
1507364122,38,1
1507365020,36,50
1507365741,39,15
1507366576,43,1
1507368317,73,34
1507369337,58,63
1507370463,51,32
1507371322,37,2
1507372096,29,0
1507373122,47,73
1507374625,72,39
1507375697,49,0
1507376719,53,62
1507377376,33,0
1507378227,36,31
1507379298,39,0
1507380143,44,64
1507382056,92,38
1507382898,30,0
1507383741,37,78
1507386017,98,36
1507386830,47,51
1507388176,61,12
1507389027,36,40
1507390082,43,0
1507391118,34,67
1507391780,24,0
1507392626,40,30
1507393479,36,1
1507394716,53,61
1507395376,39,0
1507396193,30,48
1507397199,39,0
1507398319,48,104
1507399824,73,50
1507401156,56,60
1507402082,43,18
1507403427,61,39
1507404423,35,0
1507405520,36,43
1507406456,33,55
1507407319,27,0
1507408223,37,56
1507409124,35,17
1507409782,32,0
1507410597,32,40
1507411468,38,0
1507412431,34,57
1507413330,31,0
1507414227,39,46
1507416139,85,84
1507416976,35,0
1507417826,33,46
1507418703,44,0
1507419622,28,80
1507420784,47,24
1507421718,43,3
1507422897,47,61
1507423817,36,23
1507425260,47,37
1507426217,43,61
1507426942,21,18
1507427780,36,0
1507428626,25,30
1507429516,30,0
1507430424,33,81
1507431319,29,2
1507432227,30,34
1507433420,56,49
1507434260,28,22
1507435457,46,51
1507436411,37,1
1507437311,27,44
1507437740,18,24
1507438882,44,44
1507439718,30,0
1507441075,60,83
1507442177,35,16
1507443025,36,52
1507444099,38,0
1507445119,39,69
1507446206,38,52
1507447220,41,0
1507448473,47,99
1507450029,66,58
1507452980,115,105
1507453828,30,60
1507454644,27,0
1507455616,36,119
1507456518,42,0
1507457425,40,67
1507458545,101,0
1507459344,35,327
1507460692,41,68
1507461617,41,1
1507462466,42,110
1507464054,75,140
1507464920,42,0
1507465819,40,121
1507466722,47,39
1507467730,46,110
1507468818,45,1
1507469299,21,1
1507470317,36,138
1507472056,77,179
1507472889,32,0
1507473738,42,163
1507474617,40,2
1507475427,33,54
1507477338,89,90
1507478458,38,36
1507479259,26,1
1507480219,36,55
1507480938,34,25
1507482859,82,55
1507483819,32,70
1507484716,43,24
1507486457,59,54
1507487290,30,0
1507488318,43,97
1507488978,33,0
1507489822,31,54
1507490904,51,3
1507491758,40,88
1507493163,56,48
1507494021,27,0
1507495224,41,70
1507496177,32,1
1507497026,35,48
1507497924,32,1
1507498823,26,85
1507499718,39,0
1507500628,39,44
1507500874,6,0
1507501820,36,56
1507502546,20,20
1507503377,44,1
1507504228,44,38
1507506137,67,81
1507507712,64,45
1507509623,73,96
1507510577,36,1
1507511426,30,44
1507513224,64,91
1507514119,25,1
1507516098,66,47
1507517557,44,84
1507518857,42,42
1507520418,70,87
1507521317,34,0
1507522227,35,46
1507523116,29,1
1507524022,26,95
1507524923,44,0
1507525827,32,47
1507526897,45,4
1507527805,23,76
1507529427,62,42
1507530319,42,3
1507531519,57,87
1507533259,72,56
1507534222,51,54
1507535045,31,36
1507536860,83,56
1507537819,42,78
1507538538,28,29
1507540225,57,66
1507541299,39,0
1507542209,37,94
1507543825,73,56
1507545738,69,114
1507546575,47,0
1507547427,37,71
1507549219,64,91
1507551026,93,69
1507552097,64,1
1507552940,37,112
1507554856,75,69
1507555821,39,77
1507556539,25,34
1507557707,56,48
1507558517,29,1
1507559298,29,0
1507560136,32,97
1507562119,88,56
1507562898,31,0
1507563923,45,88
1507564577,24,0
1507565427,34,55
1507566825,66,62
1507567817,45,27
1507569025,57,66
1507570938,71,102
1507571869,38,2
1507572857,43,42
1507573703,39,0
1507574540,21,69
1507575907,80,38
1507576824,31,0
1507580059,97,123
1507581019,44,76
1507581736,28,26
1507583426,69,58
1507584474,36,0
1507585516,45,98
1507587025,52,47
1507588099,43,2
1507589119,40,83
1507589965,33,62
1507590920,38,2
1507591823,48,74
1507592723,21,26
1507593376,31,1
1507594226,34,54
1507594456,12,0
1507596139,65,85
1507597824,73,50
1507599327,55,47
1507600661,38,24
1507601726,35,49
1507602496,32,0
1507603347,21,98
1507604536,44,47
1507605622,38,0
1507606936,46,63
1507608626,56,50
1507609537,25,0
1507610535,36,80
1507612078,52,51
1507613073,32,1
1507614021,44,91
1507614916,41,1
1507615825,27,43
1507616642,29,0
1507617623,41,111
1507618733,45,43
1507619719,44,6
1507620783,37,67
1507621338,18,20
1507623261,62,47
1507624938,56,87
1507625780,28,0
1507626628,28,56
1507627698,37,0
1507628540,40,243
1507629779,37,52
1507630739,23,1
1507631722,35,71
1507632695,38,38
1507633688,42,54
1507634681,45,0
1507635612,31,74
1507636655,36,0
1507637630,37,103
1507638613,10,74
1507639613,0,21
1507640586,0,67
1507642511,0,71
1507644622,0,82
1507646430,0,125
1507648222,0,46
1507649777,0,65
1507651822,0,74
1507653739,0,97
1507655658,0,55
1507656625,0,78
1507657521,0,32
1507658623,0,46
1507660508,0,75
1507661375,0,23
1507662426,0,57
1507664532,0,101
1507665578,0,42
1507666482,0,6
1507668702,0,76
1507669748,0,46
1507671736,0,92
1507672858,0,57
1507675660,0,82
1507677022,0,47
1507678940,0,96
1507680108,0,48
1507681813,0,69
1507682718,0,13
1507684223,0,52
1507686321,0,86
1507687399,0,38
1507689017,0,84
1507689824,0,28
1507691423,0,60
1507694117,0,95
1507695022,0,55
1507696218,0,67
1507696941,0,21
1507698621,0,42
1507700722,0,112
1507702223,0,58
1507706057,0,149
1507707739,0,109
1507709657,0,47
1507711348,0,110
1507713033,0,72
1507715061,0,104
1507716622,0,63
1507718537,0,84
1507720457,0,91
1507722141,0,151
1507723535,0,63
1507725242,0,84
1507727422,0,82
1507728619,0,83
1507730865,0,85
1507733117,0,120
1507734622,0,64
1507736537,0,95
1507738159,0,97
1507740318,0,97
1507741255,0,72
1507743918,0,85
1507747309,0,237
1507749318,0,65
1507750219,0,94
1507752622,0,93
1507754716,0,113
1507756221,0,65
1507758316,0,95
1507760899,0,110
1507761772,0,139
1507762759,0,56
1507763720,0,2
1507764618,0,87
1507765516,0,30
1507767022,0,77
1507769116,0,133
1507770623,0,60
1507774222,0,211
1507776139,0,133
1507778055,0,76
1507779020,0,106
1507779917,0,36
1507781422,0,66
1507783345,0,161
1507786217,0,186
