DateTime,Entries,UniqueIPs
1506977543,740,755
1506980018,763,778
1506981865,780,796
1506983784,781,797
1506985700,802,818
1506987612,822,837
1506991456,837,853
1506993378,835,852
1506995303,849,867
1506997209,871,890
1506999157,855,876
1507002980,825,845
1507004911,827,844
1507006821,852,869
1507008734,849,865
1507010662,874,891
1507012579,867,884
1507014523,835,851
1507016424,830,846
1507018350,836,852
1507020255,843,859
1507024101,840,856
1507026023,843,859
1507027946,848,863
1507029855,856,873
1507031769,861,878
1507035869,855,871
1507037792,861,877
1507039708,849,865
1507041620,838,854
1507043535,830,847
1507045457,850,868
1507051455,857,873
1507053384,857,873
1507055527,860,876
1507057464,850,865
1507059386,853,868
1507061308,836,851
1507063231,837,852
1507065144,849,864
1507067314,853,868
1507069628,858,874
1507073530,840,854
1507077380,822,836
1507079302,814,827
1507081223,792,805
1507083135,780,793
1507085050,783,796
1507088892,778,791
1507090823,796,809
1507092738,805,818
1507094652,801,817
1507096569,795,810
1507098492,796,811
1507100417,793,808
1507102337,786,801
1507104259,784,799
1507106179,800,815
1507110022,799,814
1507113850,788,803
1507115779,788,803
1507117941,790,806
1507119852,795,812
1507121782,807,824
1507125639,797,814
1507127548,799,816
1507129483,791,808
1507131388,778,795
1507133313,781,797
1507135213,798,815
1507137168,820,837
1507139051,814,831
1507140946,817,834
1507142899,835,852
1507144828,847,864
1507146748,853,870
1507148654,875,894
1507150572,874,893
1507152501,870,890
1507154440,852,872
1507156353,839,859
1507158271,855,875
1507160194,850,869
1507164251,862,884
1507166180,881,903
1507168094,907,931
1507170020,920,944
1507171953,912,938
1507173852,938,964
1507175781,941,967
1507177706,944,971
1507181550,919,947
1507183468,915,943
1507185396,913,941
1507187316,923,953
1507189227,933,963
1507191150,926,957
1507193066,926,958
1507194978,937,969
1507196908,937,969
1507198829,944,976
1507200749,945,977
1507202671,943,974
1507204572,933,963
1507206503,919,948
1507210341,926,955
1507212253,935,961
1507214414,939,966
1507216339,953,981
1507218253,972,1000
1507222329,953,978
1507224264,952,977
1507226168,941,965
1507228092,957,981
1507230027,939,962
1507232189,942,965
1507234101,936,958
1507236022,926,944
1507237885,933,951
1507239855,929,946
1507242512,948,965
1507244425,945,961
1507246580,941,957
1507248405,940,955
1507250407,946,961
1507252475,940,954
1507256413,918,930
1507258608,896,905
1507262491,850,859
1507264377,821,830
1507266438,834,843
1507268652,821,830
1507272494,807,816
1507274421,818,826
1507276342,813,821
1507278251,818,827
1507284131,787,794
1507285941,794,801
1507287857,790,797
1507290025,789,796
1507291952,800,807
1507295773,806,812
1507297700,821,827
1507299612,831,837
1507303450,817,823
1507305383,804,810
1507307308,834,840
1507309212,823,830
1507311134,821,827
1507313061,822,827
1507314984,809,814
1507317891,831,836
1507319780,831,835
1507321702,839,843
1507323622,833,837
1507325548,842,846
1507327461,832,836
1507329631,834,839
1507331551,846,851
1507333457,844,849
1507335624,860,866
1507337531,887,893
1507339453,893,901
1507341381,928,936
1507343306,934,944
1507345220,917,927
1507349065,930,939
1507350982,947,956
1507352906,960,969
1507354812,987,997
1507356746,993,1004
1507358657,1016,1027
1507360575,1006,1018
1507362497,1011,1024
1507364426,1011,1024
1507366345,1007,1019
1507368255,1015,1027
1507370170,1024,1036
1507372091,1027,1039
1507374028,1015,1027
1507375957,1031,1043
1507379792,1032,1044
1507381695,1039,1051
1507383624,1040,1052
1507385547,1016,1028
1507389370,1027,1039
1507391292,1023,1035
1507395145,1006,1015
1507397054,1031,1041
1507398981,1047,1057
1507400902,1058,1067
1507402821,1078,1087
1507404735,1078,1087
1507406667,1100,1110
1507408571,1103,1114
1507410493,1113,1125
1507412427,1116,1130
1507414346,1120,1133
1507416260,1123,1136
1507418196,1124,1137
1507420103,1130,1143
1507422034,1137,1150
1507423948,1128,1141
1507425870,1123,1136
1507427771,1156,1170
1507429719,1115,1129
1507431628,1130,1143
1507433557,1157,1170
1507435461,1187,1201
1507439302,1171,1186
1507443148,1101,1116
1507445070,1104,1120
1507446988,1106,1122
1507448905,1112,1129
1507450829,1107,1125
1507452746,1109,1127
1507456589,1104,1122
1507458511,1100,1118
1507460419,1106,1124
1507462341,1121,1139
1507464270,1132,1150
1507468132,1122,1140
1507470012,1135,1153
1507471938,1138,1157
1507473860,1162,1181
1507475781,1159,1178
1507477701,1151,1171
1507479636,1170,1190
1507481546,1167,1187
1507483469,1163,1183
1507485386,1143,1162
1507487551,1135,1152
1507489465,1126,1143
1507491395,1109,1126
1507493305,1091,1107
1507495230,1088,1103
1507497147,1094,1111
1507499061,1101,1118
1507501285,1115,1131
1507503126,1097,1113
1507505049,1094,1111
1507507008,1092,1110
1507508904,1086,1106
1507510823,1086,1106
1507512747,1106,1125
1507514667,1092,1113
1507516582,1088,1108
1507518519,1089,1109
1507522340,1052,1072
1507524261,1078,1099
1507526202,1074,1095
1507528094,1097,1118
1507530025,1094,1115
1507537694,1009,1029
1507539643,1014,1034
1507541554,1023,1043
1507543461,1020,1040
1507545376,1016,1036
1507547297,1013,1033
1507549232,994,1014
1507551144,988,1006
1507554986,990,1008
1507556930,1001,1019
1507558815,985,1003
1507560730,959,976
1507562652,970,986
1507564840,954,968
1507566756,943,956
1507568665,928,940
1507570586,905,919
1507572732,910,925
1507574656,924,942
1507576573,909,927
1507578496,919,938
1507580703,939,959
1507582577,938,958
1507584754,927,947
1507586666,907,923
1507588591,900,916
1507590506,896,912
1507592424,885,899
1507594340,882,896
1507598195,849,862
1507600104,830,841
1507602015,834,845
1507603933,817,828
1507605853,810,820
1507609720,814,824
1507611635,794,806
1507615463,769,781
1507617373,760,771
1507619295,779,790
1507621224,808,819
1507623145,820,831
1507625055,822,832
1507628893,819,828
1507631069,824,833
1507632974,835,844
1507634899,847,856
1507636837,856,865
1507638754,858,867
1507640666,880,889
1507642578,887,897
1507644495,883,893
1507646434,895,905
1507650267,883,893
1507652176,886,896
1507654092,915,926
1507656029,931,942
1507661096,917,927
1507662980,918,928
1507664898,933,941
1507670655,930,937
1507672572,962,969
1507674613,980,988
1507676423,972,979
1507678331,974,981
1507680272,994,1001
1507682170,985,992
1507684350,995,1002
1507686258,1005,1013
1507688176,1007,1014
1507690097,1013,1022
1507692020,1021,1030
1507693940,1010,1019
1507695867,1055,1064
1507697782,1042,1051
1507699702,1058,1067
1507701622,1089,1098
1507704499,1093,1102
1507706431,1097,1106
1507708345,1096,1105
1507710253,1095,1104
1507712184,1097,1106
1507714092,1114,1123
1507716051,1117,1126
1507717942,1117,1126
1507719860,1118,1127
1507721773,1111,1120
1507723720,1116,1125
1507725621,1115,1124
1507727551,1111,1120
1507729463,1102,1111
1507731402,1080,1089
1507733293,1077,1086
1507735233,1100,1109
1507737385,1084,1092
1507739556,1085,1094
