DateTime,AddedIPs,RemovedIPs
1507568680,186,158
1507569613,228,162
1507570591,211,154
1507571534,189,140
1507572747,219,367
1507573693,140,28
1507574661,181,122
1507575628,203,213
1507576589,155,139
1507577549,221,185
1507578501,193,191
1507580729,448,478
1507581852,207,160
1507582833,250,166
1507583781,204,195
1507584759,218,133
1507585712,245,156
1507586680,194,251
1507587617,206,32
1507588597,261,166
1507589536,189,122
1507590521,225,152
1507591455,189,197
1507592430,218,251
1507593389,233,34
1507594347,266,516
1507595309,184,21
1507596262,210,339
1507597231,177,26
1507598211,191,355
1507599136,201,31
1507600110,186,359
1507601068,135,15
1507602020,204,436
1507602983,131,24
1507603948,204,213
1507604909,124,24
1507605859,164,89
1507606812,135,109
1507607800,189,181
1507608739,130,20
1507609725,122,136
1507610658,161,28
1507611650,188,195
1507612580,122,18
1507613552,188,401
1507614494,231,371
1507615479,221,515
1507616426,141,26
1507617380,179,282
1507618351,181,30
1507619301,229,156
1507620256,155,167
1507621239,222,330
1507622172,152,21
1507623151,178,170
1507624093,173,160
1507625070,152,311
1507626027,150,45
1507626993,223,324
1507628204,188,102
1507629142,179,261
1507630097,233,169
1507631075,197,173
1507632025,211,172
1507632989,304,220
1507633947,270,220
1507634905,208,167
1507635855,20,136
1507636852,85,174
1507637780,504,231
1507638759,56,158
1507639700,105,9
1507640681,564,373
1507641627,44,164
1507642583,132,15
1507643545,167,298
1507644500,82,11
1507645454,78,161
1507646439,74,347
1507647376,160,15
1507648363,114,352
1507649295,8,0
1507650273,154,333
1507652192,107,194
1507653148,25,175
1507654099,139,191
1507655083,136,391
1507656035,31,157
1507656975,76,10
1507657958,68,409
1507658895,100,8
1507661115,197,537
1507662039,73,152
1507662985,46,3
1507663959,85,439
1507664903,101,519
1507665882,85,7
1507666826,36,2
1507667799,125,271
1507668747,55,291
1507669713,56,237
1507670660,103,206
1507671622,81,264
1507672587,98,196
1507673562,46,255
1507674619,71,245
1507675712,105,188
1507676663,112,245
1507677637,121,282
1507678584,81,194
1507679540,35,286
1507680500,122,273
1507681471,110,286
1507682423,111,239
1507683384,127,253
1507684365,74,199
1507685298,86,316
1507686264,111,253
1507687228,117,238
1507688191,118,245
1507689179,82,260
1507690102,71,262
1507691079,99,221
1507692026,106,258
1507692986,91,214
1507693946,55,315
