DateTime,Entries,UniqueIPs
1507568680,2851,2851
1507569613,2840,2840
1507570591,2848,2848
1507571534,2856,2856
1507572747,2851,2851
1507573693,2844,2844
1507574661,2846,2846
1507575628,2858,2858
1507576589,2862,2862
1507577549,2867,2867
1507578501,2867,2867
1507580729,2873,2873
1507581852,2872,2872
1507582833,2874,2874
1507583781,2872,2872
1507584759,2860,2860
1507585712,2867,2867
1507586680,2874,2874
1507587617,2883,2883
1507588597,2883,2883
1507589536,2887,2887
1507590521,2896,2896
1507591455,2890,2890
1507592430,2887,2887
1507593389,2886,2886
1507594347,2885,2885
1507595309,2889,2889
1507596262,2876,2876
1507597231,2853,2853
1507598211,2849,2849
1507599136,2837,2837
1507600110,2821,2821
1507601068,2823,2823
1507602020,2814,2814
1507602983,2792,2792
1507603948,2795,2795
1507604909,2798,2798
1507605859,2792,2792
1507606812,2786,2786
1507607800,2785,2785
1507608739,2784,2784
1507609725,2775,2775
1507610658,2778,2778
1507611650,2772,2772
1507612580,2768,2768
1507613552,2764,2764
1507614494,2759,2759
1507615479,2775,2775
1507616426,2784,2784
1507617380,2789,2789
1507618351,2787,2787
1507619301,2792,2792
1507620256,2789,2789
1507621239,2784,2784
1507622172,2771,2771
1507623151,2773,2773
1507624093,2761,2761
1507625070,2751,2751
1507626027,2731,2731
1507626993,2750,2750
1507628204,2733,2733
1507629142,2738,2738
1507630097,2726,2726
1507631075,2708,2708
1507632025,2705,2705
1507632989,2680,2680
1507633947,2685,2685
1507634905,2675,2675
1507635855,2669,2669
1507636852,2664,2664
1507637780,2631,2631
1507638759,2625,2625
1507639700,2600,2600
1507640681,2621,2621
1507641627,2623,2623
1507642583,2617,2617
1507643545,2627,2627
1507644500,2617,2617
1507645454,2613,2613
1507646439,2604,2604
1507647376,2589,2589
1507648363,2607,2607
1507649295,2598,2598
1507650273,2601,2601
1507651234,2593,2593
1507652192,2601,2601
1507653148,2595,2595
1507654099,2576,2576
1507655083,2580,2580
1507656035,2573,2573
1507656975,2573,2573
1507657958,2567,2567
1507658895,2564,2564
1507661115,2566,2566
1507662039,2570,2570
1507662985,2571,2571
1507663959,2567,2567
1507664903,2572,2572
1507665882,2572,2572
1507666826,2573,2573
1507667799,2566,2566
1507668747,2557,2557
1507669713,2561,2561
1507670660,2549,2549
1507671622,2568,2568
1507672587,2567,2567
1507673562,2563,2563
1507674619,2578,2578
1507675712,2575,2575
1507676663,2594,2594
1507677637,2578,2578
1507678584,2587,2587
1507679540,2575,2575
1507680500,2547,2547
1507681471,2560,2560
1507682423,2526,2526
1507683384,2550,2550
1507684365,2532,2532
1507685298,2515,2515
1507686264,2548,2548
1507687228,2528,2528
1507688191,2573,2573
1507689179,2554,2554
1507690102,2535,2535
1507691079,2554,2554
1507692026,2532,2532
1507692986,2553,2553
1507693946,2543,2543
1507694898,2509,2509
1507695883,2536,2536
1507696840,2519,2519
1507697788,2511,2511
1507698746,2538,2538
1507699708,2521,2521
1507700662,2512,2512
1507701636,2539,2539
1507702580,2530,2530
1507703581,2513,2513
1507704504,2513,2513
1507705467,2502,2502
1507706436,2489,2489
1507707377,2485,2485
1507708360,2505,2505
1507709296,2489,2489
1507710258,2475,2475
1507711228,2503,2503
1507712198,2459,2459
1507713147,2498,2498
1507715068,2488,2488
1507716056,2507,2507
1507716982,2507,2507
1507717956,2533,2533
1507718897,2526,2526
1507719865,2553,2553
1507720826,2604,2604
1507721778,2648,2648
1507722757,2701,2701
1507723735,2729,2729
1507724677,2764,2764
1507725626,2775,2775
1507726590,2796,2796
1507727567,2812,2812
1507728504,2827,2827
1507729468,2842,2842
1507730437,2842,2842
1507731407,2867,2867
1507732349,2883,2883
1507733308,2900,2900
1507734282,2890,2890
1507735238,2912,2912
1507736176,2923,2923
1507737400,2914,2914
1507738345,2921,2921
1507739561,2914,2914
1507740495,2915,2915
1507741494,2903,2903
1507742426,2913,2913
1507743403,2914,2914
1507744348,2918,2918
1507745324,2930,2930
1507747768,2947,2947
1507748915,2960,2960
1507749854,2965,2965
1507750834,2951,2951
1507751772,2959,2959
1507752749,2961,2961
1507753702,2947,2947
1507754670,2960,2960
1507755620,2968,2968
1507756592,2972,2972
1507757551,2985,2985
1507758496,2986,2986
1507759464,2996,2996
1507760425,2996,2996
1507761383,3002,3002
1507762343,3016,3016
1507763330,3004,3004
1507764256,3010,3010
1507765229,3007,3007
1507766175,3044,3044
1507767159,3062,3062
1507768092,3046,3046
1507769083,3073,3073
1507770040,3056,3056
1507771101,3072,3072
1507772180,3066,3066
1507773140,3067,3067
1507774094,3095,3095
1507775066,3073,3073
1507776022,3095,3095
1507776974,3093,3093
1507777954,3102,3102
1507778891,3105,3105
1507779855,3032,3032
1507780838,3063,3063
1507782039,3093,3093
1507782995,3109,3109
1507783944,3122,3122
1507784893,3136,3136
1507785876,3155,3155
1507786823,3170,3170
1507787776,3155,3155
1507788756,3164,3164
1507789701,3171,3171
1507790656,3171,3171
1507791637,3180,3180
1507792582,3188,3188
1507793560,3196,3196
1507794498,3193,3193
1507795464,3184,3184
1507796417,3178,3178
1507797410,3173,3173
1507798332,3166,3166
1507799305,3139,3139
1507800264,3143,3143
1507801217,3164,3164
1507802182,3162,3162
1507803157,3190,3190
1507804095,3177,3177
1507805057,3168,3168
1507806039,3154,3154
1507806977,3121,3121
1507808664,3074,3074
1507809628,3045,3045
1507810590,3018,3018
1507811554,3005,3005
1507812507,2999,2999
1507813463,2992,2992
1507814434,2996,2996
1507815374,2983,2983
1507816333,2987,2987
1507817329,2976,2976
1507818264,2980,2980
1507819227,2972,2972
1507820184,2973,2973
1507821154,2955,2955
1507822091,2958,2958
1507823079,2948,2948
1507825268,2966,2966
1507826174,2958,2958
1507827153,2960,2960
1507828104,2973,2973
1507829081,2982,2982
1507830013,2986,2986
1507830988,2992,2992
1507832185,3000,3000
1507833136,2995,2995
1507834107,2989,2989
1507835072,2995,2995
1507836012,2998,2998
1507837005,3001,3001
1507837935,2987,2987
1507838909,2981,2981
1507839855,2975,2975
1507840840,2962,2962
1507841773,2970,2970
1507842763,2960,2960
1507843690,2944,2944
1507844681,2937,2937
1507845636,2932,2932
1507847009,2936,2936
1507848024,2925,2925
1507848993,2929,2929
1507849948,2917,2917
1507850892,2921,2921
1507851865,2921,2921
1507852829,2918,2918
1507854041,2890,2890
1507854973,2880,2880
1507855964,2859,2859
1507856895,2850,2850
1507857871,2830,2830
1507858827,2828,2828
1507859777,2841,2841
1507860753,2847,2847
1507861692,2854,2854
1507862654,2856,2856
1507863636,2873,2873
1507864577,2868,2868
1507865550,2868,2868
1507866495,2859,2859
1507867473,2862,2862
1507868413,2858,2858
1507869394,2856,2856
1507870341,2864,2864
1507871298,2877,2877
1507872266,2865,2865
1507873227,2860,2860
1507874180,2852,2852
1507875148,2859,2859
1507876102,2854,2854
1507877064,2870,2870
1507878019,2872,2872
1507878989,2871,2871
1507879949,2864,2864
1507880909,2864,2864
1507881867,2869,2869
1507882813,2871,2871
1507883795,2857,2857
1507884734,2850,2850
1507885703,2851,2851
1507886665,2854,2854
1507887612,2853,2853
1507888584,2850,2850
1507889546,2854,2854
1507890493,2859,2859
1507891463,2856,2856
1507892445,2844,2844
1507893376,2839,2839
1507895065,2828,2828
1507896017,2817,2817
1507896994,2814,2814
1507897941,2802,2802
1507898908,2808,2808
1507899863,2813,2813
1507900823,2824,2824
1507901784,2818,2818
1507902736,2821,2821
1507903706,2826,2826
1507904668,2828,2828
1507905612,2834,2834
1507906586,2824,2824
1507907533,2810,2810
1507908515,2799,2799
1507910704,2813,2813
1507911612,2811,2811
1507912594,2806,2806
1507913533,2792,2792
1507914532,2784,2784
1507915455,2774,2774
1507916430,2770,2770
1507917371,2770,2770
1507918594,2766,2766
1507919536,2764,2764
1507920507,2770,2770
1507921474,2776,2776
1507922453,2775,2775
1507923384,2774,2774
1507924338,2769,2769
1507925305,2772,2772
1507926282,2763,2763
1507927212,2768,2768
1507928189,2767,2767
1507929151,2775,2775
1507930109,2771,2771
1507931069,2770,2770
1507932048,2775,2775
1507932995,2782,2782
1507933967,2781,2781
1507934894,2780,2780
1507935888,2775,2775
1507936822,2771,2771
1507937800,2767,2767
1507938733,2759,2759
1507939719,2753,2753
1507940703,2746,2746
1507941623,2721,2721
1507942573,2702,2702
1507944173,2677,2677
1507945578,2651,2651
1507946659,2694,2694
1507947627,2731,2731
1507948595,2764,2764
1507949795,2796,2796
1507950745,2804,2804
1507951652,2816,2816
1507952774,2833,2833
1507954007,2833,2833
1507955181,2830,2830
1507956261,2833,2833
1507957479,2847,2847
1507958420,2837,2837
1507959382,2834,2834
1507960341,2808,2808
1507961561,2799,2799
1507962494,2802,2802
1507963466,2813,2813
1507964425,2817,2817
1507965393,2814,2814
1507966340,2817,2817
1507967308,2817,2817
1507968272,2819,2819
1507969215,2816,2816
1507970199,2824,2824
1507971135,2836,2836
1507972112,2843,2843
1507973059,2836,2836
1507974012,2833,2833
1507974992,2838,2838
1507976197,2829,2829
1507977152,2832,2832
1507978117,2828,2828
1507979150,2844,2844
1507980265,2825,2825
1507981221,2820,2820
1507982192,2812,2812
1507983152,2813,2813
1507984115,2816,2816
1507985078,2820,2820
1507986028,2821,2821
1507986984,2817,2817
1507987972,2831,2831
1507988900,2834,2834
1507989876,2838,2838
1507990812,2847,2847
1507991796,2860,2860
1507992738,2844,2844
1507993704,2830,2830
1507994655,2818,2818
1507995640,2806,2806
1507996590,2829,2829
1507997542,2862,2862
1507998519,2882,2882
1507999461,2883,2883
1508000466,2881,2881
1508001403,2894,2894
1508002339,2895,2895
1508003320,2873,2873
1508004279,2865,2865
1508005237,2874,2874
1508006184,2878,2878
1508007145,2876,2876
1508008354,2866,2866
1508009304,2869,2869
1508010265,2861,2861
1508011218,2859,2859
1508012200,2874,2874
1508013144,2892,2892
1508014105,2904,2904
1508015070,2894,2894
1508016039,2881,2881
1508016992,2877,2877
1508017933,2876,2876
1508018911,2864,2864
1508019864,2877,2877
1508020812,2891,2891
1508021824,2879,2879
1508022737,2886,2886
1508023712,2891,2891
1508024656,2884,2884
1508025621,2873,2873
1508026596,2866,2866
1508027555,2850,2850
1508028504,2847,2847
1508029465,2845,2845
1508030437,2833,2833
1508031400,2823,2823
1508032343,2825,2825
1508033305,2811,2811
1508034268,2812,2812
1508035231,2823,2823
1508036183,2798,2798
1508037151,2795,2795
1508038100,2785,2785
1508039069,2767,2767
1508040055,2763,2763
1508041000,2749,2749
1508041951,2759,2759
1508042911,2747,2747
1508043875,2748,2748
1508044814,2748,2748
1508045796,2742,2742
1508046758,2740,2740
1508047697,2720,2720
1508048655,2705,2705
