DateTime,AddedIPs,RemovedIPs
1507568678,6,8
1507569610,7,3
1507570589,8,6
1507571532,5,5
1507572745,4,9
1507573691,3,3
1507574659,6,6
1507575625,11,3
1507576586,7,0
1507577546,4,7
1507578499,7,8
1507580727,15,14
1507581850,5,5
1507582831,5,6
1507583779,7,7
1507584757,3,6
1507585709,6,2
1507586678,6,5
1507587615,11,5
1507588594,11,4
1507589534,5,11
1507590518,8,3
1507591453,4,14
1507592427,8,0
1507593386,9,16
1507594344,11,20
1507595307,9,5
1507596260,10,16
1507597229,13,15
1507598208,16,5
1507599133,19,14
1507600107,12,8
1507601065,15,3
1507602018,26,20
1507602980,14,7
1507603945,23,3
1507604907,16,6
1507605856,19,7
1507606810,11,4
1507607797,15,4
1507608737,15,7
1507609723,5,9
1507610656,18,11
1507611647,14,8
1507612578,8,5
1507613550,9,8
1507614492,14,7
1507615477,13,7
1507616424,12,9
1507617378,13,14
1507618349,5,10
1507619298,17,7
1507620254,4,1
1507621236,5,7
1507622170,7,13
1507623149,15,8
1507624091,9,6
1507625068,0,5
1507626024,0,8
1507626990,29,3
1507628201,0,5
1507629139,20,9
1507630095,3,7
1507631072,0,4
1507632022,10,8
1507632986,0,6
1507633945,5,8
1507634902,0,4
1507635853,0,6
1507636850,14,7
1507637777,0,7
1507638757,7,2
1507639698,0,8
1507640678,7,13
1507641624,7,8
1507642581,0,3
1507643543,9,0
1507644498,0,7
1507645452,4,8
1507646437,0,3
1507647374,0,4
1507648361,16,7
1507649292,0,6
1507650271,13,7
1507651232,0,5
1507652190,12,2
1507653145,0,10
1507654096,0,3
1507655080,9,10
1507656032,0,5
1507656973,9,5
1507657956,0,2
1507658893,0,8
1507661113,10,15
1507662037,16,11
1507662983,0,9
1507663957,0,22
1507664901,13,23
1507666824,6,7
1507667796,0,13
1507668745,0,7
1507669711,7,9
1507670658,0,16
1507671619,13,0
1507672585,0,23
1507673559,0,2
1507674617,14,5
1507675710,0,4
1507676661,19,6
1507677634,0,9
1507678581,18,4
1507679537,0,4
1507680497,0,9
1507681469,28,4
1507682421,0,10
1507683382,41,12
1507684363,0,9
1507685295,0,15
1507686261,48,1
1507687225,0,10
1507688189,50,5
1507689176,0,4
1507690100,0,4
1507691077,33,4
1507692023,0,3
1507692984,27,3
1507693943,2,3
1507694896,0,3
1507695881,29,11
1507696838,0,12
1507697786,0,9
1507698744,34,17
1507699705,0,7
1507700660,1,2
1507701634,34,5
1507702578,0,7
1507703579,0,6
1507704501,7,6
1507705464,0,8
1507706434,8,10
1507707375,0,7
1507708358,17,9
1507709293,0,11
1507710256,0,8
1507711226,16,12
1507712196,0,11
1507713145,30,8
1507714094,0,12
1507715066,0,6
1507716054,33,9
1507716980,0,10
1507717954,27,5
1507718895,0,6
1507719863,16,6
1507720824,55,7
1507721776,43,4
1507722754,35,6
1507723732,20,7
1507724674,34,2
1507725623,14,4
1507726588,22,8
1507727565,23,5
1507728502,8,3
1507729466,14,4
1507730435,14,7
1507731405,15,6
1507732346,13,0
1507733305,14,9
1507734279,10,4
1507735236,23,0
1507736173,10,17
1507737397,8,6
1507738342,10,6
1507739559,10,9
1507740492,6,8
1507741491,18,4
1507742423,1,6
1507743401,8,5
1507744329,12,8
1507745321,10,7
1507747765,25,9
1507748913,10,3
1507749852,5,0
1507750831,6,21
1507751770,7,0
1507752746,8,7
1507753699,4,0
1507754668,7,13
1507755617,13,9
1507756589,4,0
1507757546,6,11
1507758494,18,3
1507759462,13,8
1507760423,16,6
1507761380,9,6
1507762341,14,0
1507763327,13,5
1507764253,19,15
1507765226,9,5
