DateTime,AddedIPs,RemovedIPs
1507568680,213,139
1507569613,248,154
1507570591,201,167
1507571534,205,132
1507572747,203,399
1507573693,177,0
1507574661,176,143
1507575628,212,202
1507576589,165,129
1507577549,243,180
1507578501,205,181
1507580729,469,464
1507581852,229,145
1507582833,266,151
1507583781,214,186
1507584759,227,128
1507585712,248,148
1507586680,190,259
1507587617,234,0
1507588597,264,158
1507589536,191,117
1507590521,231,136
1507591455,213,178
1507592430,205,236
1507593389,263,0
1507594347,203,557
1507595309,200,0
1507596262,187,333
1507597231,198,0
1507598211,170,341
1507599136,221,0
1507600110,159,370
1507601068,140,0
1507602020,172,433
1507602983,146,0
1507603948,190,207
1507604909,139,0
1507605859,169,63
1507606812,143,91
1507607800,194,152
1507608739,143,0
1507609725,148,104
1507610658,181,0
1507611650,188,182
1507612580,145,0
1507613552,161,427
1507614494,200,411
1507615479,171,587
1507616426,163,0
1507617380,134,328
1507618351,219,0
1507619301,220,157
1507620256,169,168
1507621239,203,352
1507622172,174,0
1507623151,165,170
1507624093,178,156
1507625070,117,354
1507626027,214,0
1507626993,190,344
1507628204,224,78
1507629142,143,291
1507630097,259,164
1507631075,206,184
1507632025,229,167
1507632989,338,219
1507633947,289,227
1507634905,239,165
1507635855,0,163
1507636852,49,211
1507637780,622,212
1507638759,35,187
1507639700,140,0
1507640681,643,396
1507641627,0,212
1507642583,166,0
1507643545,112,376
1507644500,105,0
1507645454,47,204
1507646439,6,432
1507647376,197,0
1507648363,42,431
1507649295,8,0
1507650273,81,409
1507652192,79,226
1507653148,0,207
1507654099,133,214
1507655083,69,481
1507656035,0,193
1507656975,93,0
1507657958,0,493
1507658895,116,0
1507661115,96,647
1507662039,38,182
1507662985,52,0
1507663959,6,526
1507664903,12,612
1507665882,103,0
1507666826,37,0
1507667799,98,316
1507668747,1,357
1507669713,33,266
1507670660,89,229
1507671622,38,295
1507672587,85,225
1507673562,1,302
1507674619,35,266
1507675712,90,216
1507676663,53,289
1507677637,108,301
1507678584,38,219
1507679540,3,314
1507680500,95,309
1507681471,54,318
1507682423,103,250
1507683384,60,262
1507684365,55,211
1507685298,53,339
1507686264,45,264
1507687228,113,248
1507688191,45,253
1507689179,63,269
1507690102,33,296
1507691079,46,242
1507692026,85,281
1507692986,39,242
1507693946,15,356
1507694898,135,284
1507695883,47,333
1507696840,108,350
1507697788,0,319
1507698746,65,264
1507699708,86,292
1507700662,0,321
1507701636,152,348
1507702580,0,315
1507703581,72,326
1507704504,77,417
1507705467,0,395
1507706436,120,341
1507707377,73,381
1507708360,31,389
1507709296,113,373
1507710258,35,489
1507711228,59,408
1507712198,150,551
1507713147,58,353
1507714097,0,617
1507715068,83,264
1507716056,48,701
1507716982,60,534
1507717956,61,552
1507718897,4,703
1507719865,135,588
1507720826,191,490
1507721778,332,0
1507722757,281,0
1507723735,216,937
1507724677,222,0
1507725626,149,132
1507726590,325,837
1507727567,153,0
1507728504,241,162
1507729468,131,3
1507730437,167,144
1507731407,517,0
1507732349,807,0
1507733308,534,361
1507734282,769,2
1507735238,502,14
1507736176,762,118
1507737400,947,0
1507738345,827,126
1507739561,948,229
1507740495,576,0
1507741494,674,2
1507742426,692,0
1507743403,669,111
1507744348,851,0
1507745324,676,306
1507747768,1147,2
1507748915,425,100
1507749854,346,1
1507750834,285,3
1507751772,537,153
1507752749,652,2
1507753702,507,174
1507754670,473,0
1507755620,424,0
1507756592,303,130
1507757551,547,1
1507758496,424,125
1507759464,530,0
1507760425,433,5
1507761383,561,120
1507762343,363,2
1507763330,378,121
1507764256,502,2
1507765229,497,2
1507766175,667,116
1507767159,476,3
1507768092,660,115
1507769083,348,2
1507770040,217,52
1507771101,193,64
1507772180,240,0
1507773140,125,135
1507774094,145,4
1507775066,422,60
1507776022,369,50
1507776974,361,8
1507777954,389,110
1507778891,422,5
1507779855,417,1
1507780838,620,141
1507782039,421,10
1507782995,365,111
1507783944,193,0
1507784893,147,31
1507785876,114,77
1507786823,119,0
1507787776,88,119
1507788756,269,0
1507789701,485,67
1507790656,371,74
1507791637,272,0
1507792582,219,102
1507793560,350,91
1507794498,352,11
1507795464,270,191
1507796417,239,38
1507797410,213,45
1507798332,157,221
1507799305,193,116
1507800264,140,0
1507801217,223,142
1507802182,205,109
1507803157,234,121
1507804095,415,123
1507805057,246,4
1507806039,283,167
1507806977,284,259
1507808664,546,429
1507809628,197,96
1507810590,195,71
1507811554,235,48
1507812507,166,62
1507813463,208,22
1507814434,151,45
1507815374,218,10
1507816333,167,25
1507817329,233,161
1507818264,171,221
1507819227,148,148
1507820184,164,211
1507821154,149,154
1507822091,160,229
1507823079,177,299
1507825268,364,565
1507826174,173,176
1507827153,135,197
1507828104,197,183
1507829081,181,239
1507830013,254,308
1507830988,247,233
1507832185,213,426
1507833136,196,0
1507834107,114,0
1507835072,103,157
1507836012,85,126
1507837005,115,101
1507837935,100,271
1507838909,133,353
1507839855,91,269
1507840840,356,240
1507841773,250,217
1507842763,268,135
1507843690,159,291
1507844681,175,258
1507845636,130,346
1507847009,209,623
1507848024,181,202
1507848993,161,261
1507849948,187,284
1507850892,170,313
1507851865,180,443
1507852829,173,310
1507854041,225,453
1507854973,150,210
1507855964,160,92
1507856895,120,100
1507857871,188,118
1507858827,130,113
1507859777,117,121
1507860753,186,396
1507861692,126,358
1507862654,157,356
1507863636,165,411
1507864577,147,415
1507865550,134,471
1507866495,154,623
1507867473,169,450
1507868413,129,0
1507869394,175,362
1507870341,144,174
1507871298,181,210
1507872266,123,0
1507873227,165,239
1507874180,163,427
1507875148,162,0
1507876102,144,1360
1507877064,140,427
1507878019,170,0
1507878989,133,1011
1507879949,168,0
1507880909,149,1413
1507881867,166,599
1507882813,132,0
1507883795,130,564
1507884734,154,713
1507885703,155,0
1507886665,144,261
1507887612,154,447
1507888584,157,820
1507889546,146,0
1507890493,180,907
1507891463,186,941
1507892445,192,358
1507893376,192,0
1507895065,307,969
1507896017,191,0
1507896994,165,421
1507897941,242,0
1507898908,152,407
1507899863,231,0
1507900823,213,174
1507901784,227,365
1507902736,220,239
1507903706,191,0
1507904668,161,315
1507905612,160,0
1507906586,219,331
1507907533,234,0
1507908515,220,392
1507910704,434,410
1507911612,195,0
1507912594,220,334
1507913533,206,0
1507914532,224,388
1507915455,254,0
1507916430,217,423
1507917371,211,0
1507918594,256,498
1507919536,155,0
1507920507,123,112
1507921474,120,273
1507922453,156,159
1507923384,141,0
1507924338,138,304
1507925305,123,0
1507926282,314,536
1507927212,266,0
1507928189,174,739
1507929151,207,0
1507930109,137,378
1507931069,181,0
1507932048,223,433
1507932995,189,0
1507933967,197,158
1507934894,145,161
1507935888,219,228
1507936822,179,196
1507937800,147,209
1507938733,207,251
1507939719,360,219
1507940703,237,190
1507941623,189,194
1507942573,219,181
1507944173,337,241
1507945578,487,285
1507946659,429,202
1507947627,340,152
1507948595,174,203
1507949795,170,200
1507950745,105,169
1507951652,76,194
1507952774,58,143
1507954007,70,379
1507955181,62,218
1507956261,85,176
1507957479,162,207
1507958420,128,178
1507959382,227,197
1507960341,316,233
1507961561,478,380
1507962494,297,0
1507963466,294,390
1507964425,210,160
1507965393,204,177
1507966340,174,0
