DateTime,AddedIPs,RemovedIPs
1507437314,52,0
1507437616,62,0
1507437915,60,0
1507438215,48,0
1507438514,6,0
1507446315,1,0
1507450513,1,0
1507450814,1,0
1507458914,1,0
1507460114,1,0
1507461615,1,0
1507481414,0,1
1507482914,1,0
1507486517,1,0
1507487414,1,0
1507492814,1,0
1507508415,0,1
1507508718,0,1
1507509314,0,1
1507511115,1,0
1507511415,13,1
1507511714,11,0
1507512014,30,0
1507512316,45,6
1507512614,60,0
1507513214,66,3
1507513515,37,0
1507514114,56,0
1507514416,25,0
1507515014,100,0
1507515315,36,0
1507515615,23,0
1507515920,51,3
1507516214,26,3
1507516514,37,0
1507516815,26,0
1507517114,52,0
1507517415,14,0
1507517714,25,1
1507518014,30,0
1507518315,14,3
1507518913,47,0
1507519215,10,0
1507519814,41,0
1507520114,9,0
1507520414,12,0
1507520713,18,0
1507521014,24,3
1507521314,17,0
1507521616,7,0
1507521913,10,0
1507522214,16,0
1507522815,106,3
1507523119,54,0
1507523714,87,0
1507524015,21,0
1507524614,103,3
1507524913,52,0
1507525215,42,7
1507525514,46,1
1507526114,108,3
1507526414,37,3
1507527014,41,3
1507527614,106,0
1507527915,59,0
1507528215,63,0
1507528514,37,1
1507528814,44,3
1507529413,163,18
1507529715,70,0
1507530014,82,0
1507530323,71,0
1507530616,58,0
1507530914,57,0
1507532714,0,1
1507534815,0,1
1507536314,0,1
1507537214,0,1
1507538414,62,3
1507538714,4,0
1507539015,29,0
1507539313,4,1
1507539915,18,0
1507540213,1,0
1507541114,32,0
1507542014,1,0
1507542913,2,0
1507543813,0,1
1507545614,0,1
1507546215,0,1
1507546814,2,0
1507548613,1,1
1507552815,0,1
1507556713,3,0
1507557314,1,0
1507557915,0,9
1507558515,7,149
1507558815,0,1
1507559414,0,1
1507563615,1,0
1507564214,0,1
1507564814,0,1
1507567214,0,1
1507569013,1,0
1507570214,2,0
1507570513,1,0
1507571714,1,0
1507572614,0,1
1507573214,0,1
1507578014,0,1
1507590314,22,0
1507590914,57,1
1507591215,64,0
1507591514,44,0
1507591815,41,0
1507592415,41,0
1507592713,10,0
1507593014,44,3
1507593313,28,0
1507593615,28,0
1507593914,39,0
1507594214,25,0
1507594814,51,0
1507595117,25,0
1507595714,62,0
1507596015,52,0
1507596613,68,0
1507597215,42,0
1507597514,73,3
1507597814,44,0
1507598113,25,0
1507598414,34,0
1507598727,47,0
1507599016,33,0
1507599314,32,0
1507599615,31,0
1507599914,28,3
1507600514,70,0
1507600815,25,0
1507601413,61,0
1507601714,27,0
1507602014,9,2
1507602314,31,0
1507602615,51,0
1507602914,12,0
1507603215,8,0
1507603513,23,0
1507603813,60,12
1507604414,122,0
1507604714,76,0
1507605313,110,3
1507605615,41,0
1507606214,98,0
1507606513,47,0
1507606814,44,0
1507607414,99,3
1507607714,38,0
1507608015,65,0
1507608315,50,0
