DateTime,AddedIPs,RemovedIPs
1507184253,4,0
1507184886,462,444
1507186980,1,0
1507188301,808,811
1507191013,7,3
1507191450,3,0
1507192563,301,277
1507195838,0,1
1507198645,3,1
1507199101,797,786
1507200244,414,398
1507200368,3,0
1507201739,14,6
1507205850,318,267
1507206751,1,0
1507207922,125,122
1507209901,802,806
1507211059,299,294
1507212547,5,9
1507215844,152,142
1507219683,134,138
1507220245,4,1
1507220701,853,840
1507223808,34,18
1507223841,2,0
1507224623,1,0
1507225854,0,256
1507227857,81,79
1507231501,752,725
1507234827,17,5
1507235523,152,155
1507242301,777,722
1507244163,56,61
1507245836,7,8
1507248244,841,894
1507249035,6,17
1507252627,1,0
1507253435,1460,1487
1507256163,594,585
1507256238,4,1
1507257144,11,9
1507263455,6,1
1507264084,1693,1667
1507267029,1,0
1507267854,8,6
1507270630,5,1
1507272004,466,446
1507273353,1,0
1507273522,1,1
1507274701,735,741
1507276234,1,0
1507277835,12,2
1507279684,237,221
1507282254,1,0
1507285031,2,1
1507285501,705,735
1507287363,236,230
1507288507,8,2
1507291357,318,325
1507292232,1,0
1507295284,145,152
1507296301,756,750
1507297573,4,0
1507299123,155,141
1507299384,335,328
1507299428,2,0
1507302959,1,0
1507305149,253,0
1507306803,138,125
1507307101,700,700
1507307456,248,0
1507310169,4,7
1507310237,1,0
1507311628,16,4
1507314029,6,0
1507314484,89,88
1507315559,1,0
1507318219,672,723
1507321194,6,8
1507322404,74,325
1507324632,2,0
1507328235,6,1
1507329028,687,693
1507330083,72,76
1507331052,1,0
1507332245,6,5
1507334562,0,17
1507335435,1,0
1507337763,571,894
1507339037,1,0
1507339828,1450,1394
1507340751,1,0
1507341843,633,334
1507342640,5,0
1507343304,5,11
1507346171,1,0
1507349523,716,705
1507349855,3,1
1507350301,889,888
1507354232,1,3
1507357203,446,442
1507361101,853,836
1507363261,1,0
1507364233,9,0
1507364884,330,315
1507369868,0,1
1507371435,2,0
1507371901,742,768
1507372601,207,212
1507375817,8,7
1507376750,2,0
1507377761,287,329
1507378635,3,0
1507379450,1,0
1507380243,205,219
1507381358,1,0
1507382107,2,0
1507383047,733,735
1507384306,756,0
1507385828,4,0
1507386699,6,4
1507387235,309,330
1507387923,131,135
1507388557,3,0
1507393031,2,0
1507393501,721,715
1507395610,103,91
1507397502,2,11
1507399447,146,395
1507400236,3,0
1507403833,1,0
1507404493,675,677
1507404623,0,256
1507407122,161,160
1507407429,2,0
1507408566,4,4
1507414803,73,74
1507415101,677,680
1507415426,252,0
1507418228,1,0
1507419196,3,0
1507420951,0,18
1507421817,2,0
1507422485,834,873
1507422630,256,0
1507424547,1,0
1507426227,1288,1313
1507429023,4,0
1507430163,583,583
1507432622,1,0
1507436244,5,1
1507436701,999,988
1507437844,667,642
1507439825,1,0
1507441200,2,4
1507443416,2,0
1507445522,468,477
1507447501,828,818
1507450619,6,0
1507452123,5,2
1507453246,328,299
1507454462,1,0
1507457044,233,238
1507457827,3,1
1507458301,698,725
1507463014,3,3
1507464725,547,548
1507465027,6,0
1507469434,637,649
1507470303,0,1
1507472402,151,144
1507474131,8,5
1507474247,254,0
1507475544,344,350
1507479417,4,1
1507480084,789,793
1507483025,1,0
1507483823,255,0
1507485049,2,4
1507486316,3,2
1507486622,5,0
1507487515,1,0
1507488003,132,128
1507490701,683,687
1507492951,2,0
1507493819,4,1
1507495683,77,72
1507496008,5,8
1507501020,2,0
1507501501,669,670
1507501855,255,0
1507503363,97,97
1507506642,6,5
1507507459,607,866
1507508219,3,15
1507510253,248,0
1507512301,1266,1271
1507515123,609,391
1507515420,6,0
1507518017,1,6
1507521744,1,0
1507522803,718,667
1507523101,873,874
1507526216,1,0
1507527650,3,8
1507530028,5,1
1507530484,442,456
1507534359,887,900
1507536048,2,0
1507537020,4,0
1507538163,313,318
1507538401,4,2
1507540622,1,0
1507544215,8,0
1507544701,748,749
1507545843,282,275
1507547821,1,0
1507549549,1,3
1507550544,0,28
1507551865,322,648
1507553763,147,138
1507555501,669,679
1507556766,1,2
1507557096,0,768
1507558507,2,0
1507558624,7,1
1507560363,1,6
1507561443,197,199
1507562223,1,0
1507563858,330,320
1507565284,182,181
1507565823,5,0
1507566737,641,637
1507568544,1,0
1507571297,3,3
1507573206,118,112
1507573689,8,6
1507573821,254,0
1507576632,1,0
1507577101,799,802
1507580221,7,0
1507581124,124,123
1507582309,8,9
1507583819,1,0
1507587425,2,1
1507587901,789,779
1507589043,107,113
1507593267,10,12
1507593745,0,22
1507594620,3,0
1507596724,656,854
1507598701,1339,1341
1507601819,1,0
1507604411,655,474
1507608244,661,603
1507609045,2,0
1507609501,1043,1031
1507615388,1,7
1507615923,417,403
1507616221,5,1
1507620301,959,935
1507623603,313,317
1507625532,108,189
1507626907,4,10
1507630615,5,0
1507631524,1015,1052
1507634220,1,0
1507636800,6,259
1507637708,266,334
1507637816,3,0
1507639203,124,124
1507641423,1,0
1507641901,789,801
1507645022,2,0
1507646883,147,143
1507647828,1,6
1507648621,1,0
1507650424,1,0
1507651943,361,370
1507652219,3,0
1507652701,838,839
1507654563,196,198
1507655056,0,253
1507655829,1,0
1507658527,3,8
1507661100,23,14
1507661222,1826,0
1507662484,158,161
1507663501,826,823
1507665096,0,240
1507666666,3,0
1507669697,1,3
1507670163,109,104
1507674003,49,45
1507674301,779,783
1507677455,1,0
1507680138,6,6
1507680180,0,1191
1507681225,2,0
1507681923,798,862
1507685101,1447,1446
1507688251,1,0
1507689602,634,575
1507691064,3,4
1507691851,1,0
1507695473,5,1
1507696232,1062,1066
1507697283,716,674
1507699207,1,0
1507702096,3,10
1507702646,3,1
1507704990,451,440
1507706257,1,0
1507706701,894,974
1507708844,299,286
1507709848,4,0
1507713110,3,7
1507713452,0,1
1507716483,242,257
1507717049,7,0
1507717501,950,994
1507720647,2,1
1507724163,474,560
1507724251,1,0
1507728498,970,1048
1507731842,182,176
1507734885,2,5
1507738654,4,0
1507739524,1244,1252
1507740026,428,415
1507747726,137,123
1507748911,9,8
1507749901,944,928
1507753048,6,0
1507755363,106,108
1507758973,20,5
1507760252,2,0
1507760701,860,866
1507763283,148,152
1507767122,794,841
1507767446,3,0
1507769980,8,5
1507771501,1472,1509
1507774803,614,566
1507781292,12,2
1507781880,5,0
1507782484,1902,1827
1507789052,2,0
1507790162,476,457
1507792284,11,3
1507792578,1,0
1507793101,1174,1183
1507796252,7,0
1507797844,263,256
1507799845,1,0
1507803621,21,2
1507803901,1137,1136
1507805522,189,185
1507810112,222,252
1507810647,1,0
1507813206,177,174
1507814888,1133,1117
1507816832,1959,0
1507817283,147,134
1507817849,3,0
1507818620,254,0
