DateTime,Entries,UniqueIPs
1507792204,108818,9432106
1507792805,108806,9432094
1507793404,108809,9432097
1507794034,108801,9432087
1507794605,108797,9432083
1507795205,108786,9432071
1507795948,108752,9432036
1507796104,108764,9432048
1507796904,108803,9432087
1507797305,108798,9432082
1507797863,108800,9432083
1507797904,108790,9432073
1507798504,108797,9432080
1507799048,108809,9432092
1507799104,108817,9432099
1507799797,108824,9432106
1507800303,108823,9432105
1507800915,108764,9432040
1507801712,108749,9432025
1507802103,108765,9432042
1507802405,108798,9432075
1507803005,108790,9432067
1507803635,108763,9432039
1507804204,108780,9432057
1507804804,108789,9432065
1507805554,108805,9432081
1507806004,108810,9432086
1507806605,108798,9432075
1507807468,108804,9432079
1507807508,108759,9432025
1507808104,108755,9432021
1507808703,108752,9432017
1507809385,108740,9432002
1507809904,108727,9431989
1507810506,108808,9432088
1507811308,108794,9432075
1507811704,108806,9432087
1507812306,108768,9432046
1507812903,108830,9432109
1507813695,108759,9432025
1507813804,108755,9432021
1507814404,108753,9432019
1507815149,108724,9431991
1507815312,108581,9431839
1507815903,108581,9431839
1507816503,108621,9431879
1507817324,108624,9431884
1507817407,108581,9431841
1507818004,108622,9431881
1507818603,108636,9431895
1507819222,108635,9431895
1507819805,108631,9431890
1507820178,108632,9431891
1507820405,108627,9431886
1507821149,108666,9431926
1507821604,108647,9431904
1507822207,108611,9431868
1507823065,108611,9431867
1507823408,108529,9431777
1507825253,108578,9431839
1507825689,108579,9431841
1507825804,108578,9431840
1507826403,108569,9431831
1507827148,108537,9431799
1507827304,108536,9431799
1507827908,108454,9431708
1507828330,108466,9431720
1507828504,108469,9431723
1507829066,108488,9431742
1507829103,108526,9431780
1507829704,108601,9431859
1507830305,108589,9431847
1507830983,108544,9431799
1507831506,108504,9431760
1507832106,108515,9431772
1507832905,108515,9431776
1507833304,108509,9431770
1507833904,108598,9431868
1507834504,108636,9431906
1507834850,108632,9431902
1507835104,108614,9431884
1507835704,108611,9431881
1507836304,108599,9431869
1507837000,108608,9431878
1507837504,108615,9432613
1507837806,108571,9432569
1507838404,108565,9432563
1507838894,108568,9432566
1507839003,108569,9432567
1507839604,107689,9431672
1507840204,108576,9432574
1507840835,108596,9432594
1507841404,108644,9432642
1507842004,96333,9420143
1507842748,108669,9432666
1507843222,108681,9432676
1507843805,108677,9432672
1507844674,108690,9432685
1507845004,108681,9432676
1507845606,108700,9432693
1507846204,108707,9432700
1507846991,108729,9432723
1507847405,108751,9432746
1507848006,108760,9432755
1507848988,108842,9432845
1507849205,108844,9432846
1507849803,108841,9432843
1507850404,108865,9432868
1507850887,108874,9432877
1507851003,108955,9432968
1507851605,108949,9432962
1507852203,108946,9432959
1507852824,108948,9432961
1507853404,108955,9432968
1507854004,108954,9432967
1507854741,108963,9432975
1507855205,108979,9432990
1507855803,108991,9433001
1507856405,108993,9433003
1507856653,108988,9432997
1507857004,108974,9432983
1507857603,108996,9433005
1507857851,109004,9433013
1507858204,109007,9433016
1507858565,109002,9433011
1507858803,109005,9433014
1507859403,109007,9433016
