DateTime,AddedIPs,RemovedIPs
1507686121,3,14
1507687321,5,20
1507687922,0,3
1507688522,0,20
1507689121,1,2
1507689722,5,0
1507690322,8,11
1507690922,10,1
1507692121,10,5
1507693321,3,13
1507694522,9,0
1507695722,1,17
1507696321,2,0
1507696921,0,6
1507697521,2,0
1507698122,0,16
1507698721,1,0
1507699322,0,2
1507699981,29,15
1507701121,2,4
1507701722,3,4
1507702921,2,7
1507704121,2,5
1507704721,2,0
1507705323,20,12
1507706521,4,17
1507707721,3,10
1507708922,1,3
1507709521,1,0
1507710121,2,28
1507710721,0,10
1507711322,1,0
1507711922,1,7
1507712521,5,8
1507713121,2,0
1507713850,1,0
1507714922,12,19
1507715521,5,0
1507716122,0,3
1507716722,1,0
1507717321,2,12
1507718521,2,0
1507719121,2,1
1507719722,3,3
1507720921,8,4
1507722122,3,7
1507722721,3,1
1507723358,13,12
1507723921,2,2
1507724522,14,3
1507725181,9,15
1507725722,1,8
1507726321,2,2
1507726921,5,3
1507728121,0,3
1507728721,1,7
1507729322,0,3
1507730521,3,1
1507731121,1,1
1507731722,1,5
1507732381,5,0
1507732921,4,2
1507733522,4,12
1507734121,2,5
1507734722,1,0
1507735323,17,2
1507735921,13,0
1507736522,6,6
1507737122,1,0
1507738528,19,0
1507738922,0,4
1507740122,2,13
1507741322,4,2
1507742521,0,4
1507743722,6,6
1507744921,6,0
1507745522,2,8
1507747322,3,11
1507747921,0,1
1507748522,4,3
1507749122,3,0
1507749722,3,0
1507750322,0,2
1507750922,2,3
1507751521,6,7
1507752123,6,12
1507752721,14,2
1507753321,5,12
1507753922,2,0
1507754522,21,1
1507755122,10,2
1507755721,6,7
1507756922,19,6
1507757522,9,0
1507758122,3,6
1507758722,1,1
1507759322,4,0
1507760521,4,1
1507761722,2,0
1507762322,3,0
1507762921,58,74
1507763522,2,0
1507764121,25,4
1507765321,2,6
1507766522,17,5
1507767721,8,5
1507768921,11,9
1507769523,0,4
1507770121,11,5
1507771321,12,5
1507771922,24,1
1507772650,2,0
1507773122,17,1
1507773721,10,4
1507774921,20,11
1507775521,4,4
1507776122,7,0
1507777321,13,2
1507777922,5,2
1507778521,11,15
1507779122,5,3
1507779723,27,7
1507780322,26,0
1507780922,11,5
1507781522,14,0
1507782121,6,2
1507782781,1,0
1507783322,9,0
1507783921,5,1
1507784522,1,2
1507785721,10,4
1507786321,12,0
1507786921,5,1
1507788122,47,26
1507789322,5,0
1507790522,8,17
1507791122,2,9
1507791722,0,10
1507792922,21,3
1507793522,2,3
1507794122,2,5
1507795322,5,17
1507796522,11,0
1507797181,10,11
1507797721,4,6
1507798921,2,0
1507799521,4,1
1507800122,12,2
1507800721,0,1
1507801322,0,9
1507802521,12,15
1507803121,1,0
1507803721,4,0
1507804321,2,0
1507804381,0,2
1507804922,0,7
1507805522,0,1
1507806122,10,1
1507807322,20,2
1507808522,6,2
1507809122,1,3
1507809722,8,3
1507810922,3,6
1507811521,15,23
1507812721,5,20
1507813322,3,2
1507814521,10,10
1507815722,13,0
1507816322,2,1
1507816832,1,1
1507816921,2,5
1507817521,5,0
1507818122,16,1
1507818721,5,1
1507819321,7,2
1507820522,6,1
1507821121,1,0
1507821722,9,3
1507822921,15,10
1507823522,2,0
1507824722,8,26
1507825321,7,0
1507825922,3,0
1507826522,3,6
1507827721,3,1
1507828322,1,0
1507828922,18,9
1507830121,7,1
1507831453,5,15
1507831921,2,0
1507832522,6,9
1507833722,6,6
1507834321,2,0
1507834922,2,0
1507835522,4,0
1507836121,0,2
1507836781,1,0
1507837321,3,2
1507838521,14,0
1507839121,1,13
1507839722,4,2
1507840322,1,0
1507840922,2,0
1507842121,3,11
1507843322,5,9
1507844522,6,5
1507845721,2,6
1507847521,4,7
1507847582,1,0
1507848121,1,0
1507848722,4,3
1507849321,3,0
1507849921,3,0
1507850522,10,11
1507851181,14,15
1507851722,10,1
1507852321,15,14
1507852922,6,10
1507853522,4,1
1507854122,3,9
1507855321,5,12
1507855924,1,0
1507856522,4,2
1507857122,8,0
1507857721,6,6
1507858921,3,0
1507860122,4,9
1507861322,1,21
1507862522,2,0
1507863721,0,9
1507864922,0,3
1507865521,7,9
1507866122,3,0
1507867321,2,3
1507868522,0,3
1507869722,5,9
1507870322,20,0
1507870921,0,6
1507871522,0,1
1507872121,3,13
1507872722,2,1
1507873322,40,0
1507874521,1,10
1507875121,4,0
1507875722,1,0
1507876322,2,1
1507876381,1,2
1507876921,5,3
1507879322,1,27
1507879922,0,1
1507880522,0,2
1507881722,0,1
1507882322,5,4
1507882921,4,0
1507883521,2,3
1507883581,0,10
1507884122,1,12
1507885321,3,0
1507886522,2,6
1507887722,7,4
1507888922,19,6
1507889522,2,0
1507890250,1,2
1507890721,0,1
1507891321,0,6
1507892522,5,5
1507893721,1,9
1507894381,0,9
1507894922,3,0
1507895522,3,2
1507896122,14,6
1507897321,2,1
1507897921,14,8
1507898522,11,1
1507899122,11,3
1507899721,2,3
1507900321,1,0
1507900922,2,2
1507902121,4,0
1507902721,3,4
1507903321,2,4
1507903921,4,2
1507904522,1,11
1507905132,6,4
1507905722,2,3
1507906322,1,0
1507906921,2,7
1507908121,4,6
1507908781,3,0
1507910600,13,23
1507911722,10,2
1507912322,10,0
1507912921,6,4
1507913521,2,0
1507914121,1,2
1507914722,3,0
1507915322,0,14
1507916522,1,9
1507918922,15,13
1507920122,0,2
1507921322,3,10
1507921921,1,0
1507922522,8,3
1507923722,4,4
1507924321,1,1
1507925521,5,6
1507926122,2,0
1507926721,1,0
1507927322,7,3
1507928521,1,4
1507929722,8,8
1507930381,2,0
1507930922,1,8
1507932122,1,2
1507932722,5,0
1507933321,5,0
1507933922,2,3
1507934414,2,0
1507934521,3,5
1507935722,5,0
1507936922,2,6
1507937581,13,48
1507938122,2,3
1507938722,3,2
1507939322,3,11
1507939922,4,4
1507940522,4,0
1507941721,7,13
1507942922,5,11
1507943523,1,0
1507944722,2,11
1507946521,1,10
1507947122,1,0
1507947721,0,3
1507948382,24,4
1507949051,11,7
1507949522,1,7
1507950121,0,2
1507951922,0,13
1507951981,1,0
1507953122,5,0
1507953721,4,5
1507954322,4,7
1507954922,1,0
1507956122,0,6
1507956722,0,1
1507958522,2,16
1507959181,38,0
1507959721,2,1
1507960922,2,2
1507962121,21,2
1507963321,4,4
1507963931,0,1
1507964522,2,14
1507965721,0,2
1507966381,1,5
1507966923,14,0
1507967521,6,2
1507968121,3,3
1507968722,1,2
1507969321,1,4
1507970521,8,15
1507971121,1,8
1507971722,3,0
1507972322,9,14
1507972921,0,6
1507974122,1,0
1507975321,4,7
1507975921,0,2
1507976522,1,11
1507977182,0,6
1507977722,4,4
1507978581,5,6
1507978922,2,11
1507979522,3,10
1507981322,15,12
1507981922,0,2
1507982521,10,10
1507983122,5,2
1507983722,1,5
1507984381,5,10
1507984922,0,4
1507985521,0,4
1507986122,2,2
1507986722,2,0
1507987321,3,5
1507987922,4,12
1507988522,4,4
1507989121,0,1
1507989722,4,11
1507990322,2,0
1507990921,1,0
1507992122,3,14
1507993322,4,0
1507993921,2,17
1507994522,14,15
1507995722,9,3
1507996321,1,2
1507996921,1,11
1507996976,3,7
1507998122,2,0
1507998781,5,3
1507999322,6,0
1508000522,2,5
1508001122,2,0
1508001722,6,2
1508002921,7,0
1508003522,6,2
1508004122,1,1
1508004721,4,0
1508005321,0,9
1508005922,3,1
1508006522,42,1
1508007122,40,5
1508007854,3,7
1508008321,18,8
1508008921,2,0
1508009522,16,5
1508010121,2,0
1508011321,5,3
1508011922,6,2
1508012522,13,3
1508013121,7,4
1508013723,28,5
1508014321,4,2
1508014922,1,6
1508016122,4,2
1508017321,10,7
1508017922,12,0
1508018521,6,0
1508019121,4,17
1508019721,5,6
1508020925,4,5
1508021524,28,1
1508022122,1,5
1508022721,1,0
1508023322,40,8
1508023981,15,52
1508024522,8,2
1508025122,10,23
1508025721,11,15
1508026322,12,5
1508026922,9,4
1508027522,3,1
1508028122,5,8
1508028722,12,4
1508029321,5,7
1508029923,14,3
1508030521,10,12
1508031181,15,1
1508031721,14,3
1508032922,28,14
1508033522,13,9
1508034122,5,2
1508034721,1,0
1508035321,6,2
1508035922,2,6
1508036521,15,6
1508037133,6,10
1508037722,27,5
1508038381,4,4
1508038922,4,9
1508039521,1,3
1508040122,4,4
1508040721,10,5
1508041921,0,7
1508041981,0,1
1508042522,12,3
1508043122,0,1
1508043722,19,32
1508044322,30,1
1508044922,11,4
1508045582,6,2
1508046121,17,13
1508046721,5,4
1508047321,9,1
1508047922,7,4
1508048522,5,7
1508049122,2,0
1508049721,15,8
1508050321,1,3
1508050922,2,0
1508051522,32,11
1508052121,17,3
1508052721,1,2
1508053322,11,27
1508054521,13,12
1508055722,3,0
1508056322,3,4
1508056381,0,1
1508056921,8,28
1508057522,18,13
1508058121,17,7
1508058722,8,0
1508059322,16,1
1508059922,6,5
1508060522,8,6
1508061122,0,6
1508061722,17,0
1508062922,11,23
