DateTime,AddedIPs,RemovedIPs
1507086979,41,32
1507088893,22,49
1507090824,24,31
1507092739,66,45
1507094653,683,0
1507096570,26,21
1507098493,20,17
1507100418,59,34
1507102338,39,22
1507104261,38,17
1507106180,17,20
1507108101,21,26
1507110023,33,28
1507111934,46,31
1507113851,46,30
1507115780,32,26
1507117942,44,19
1507119853,37,25
1507121783,28,28
1507123692,23,28
1507125640,92,62
1507127549,59,32
1507129484,35,28
1507131389,26,48
1507133314,32,1498
1507135214,42,25
1507137169,686,0
1507139052,39,19
1507140947,24,17
1507142900,27,22
1507144830,33,18
1507146749,19,17
1507148655,25,33
1507150573,23,22
1507152502,29,25
1507154441,53,38
1507156354,31,22
1507158272,36,31
1507160195,37,29
1507162352,40,28
1507164253,26,36
1507166182,36,31
1507168095,17,24
1507170021,27,29
1507171954,52,52
1507173853,45,51
1507175782,49,37
1507177707,22,20
1507179617,618,0
1507181551,15,18
1507183469,10,12
1507185397,36,22
1507187317,22,17
1507189228,20,16
1507191151,23,32
1507193067,34,22
1507194979,29,22
1507196909,32,19
1507198830,22,18
1507200750,19,19
1507202672,20,28
1507204573,24,27
1507206504,27,28
1507208409,21,36
1507210342,56,55
1507212254,30,27
1507214415,29,52
1507216340,39,49
1507218254,45,37
1507220433,45,1922
1507222330,71,36
1507224265,853,0
1507226169,52,37
1507228093,46,22
1507230028,82,50
1507232190,73,43
1507234102,77,35
1507236023,42,19
1507237887,85,22
1507239856,106,30
1507242514,94,39
1507244426,108,78
1507246581,31,50
1507248406,20,32
1507250408,55,28
1507252476,37,21
1507254496,48,41
1507256414,57,48
1507258609,29,52
1507260510,21,33
1507262492,57,67
1507264378,27,34
1507266439,738,0
1507268654,14,26
1507271492,43,38
1507273461,22,24
1507275385,35,34
1507277299,33,30
1507279226,24,17
1507281099,31,21
1507283182,41,27
1507285209,26,38
1507287140,20,48
1507289050,31,25
1507290968,28,44
1507292890,23,27
1507294828,81,47
1507296748,22,40
1507298660,24,47
1507300585,31,51
1507302500,11,32
1507304415,20,34
1507306337,28,1467
1507308251,39,66
1507310185,707,0
1507312103,32,19
1507314031,24,11
1507315931,24,23
1507317892,24,22
1507319781,21,19
1507321703,31,23
1507323623,48,48
1507325549,26,32
1507327462,25,26
1507329632,28,20
1507331552,25,24
1507333458,23,21
1507335625,32,26
1507337532,21,19
1507339454,26,27
1507341382,25,34
1507343307,19,35
1507345221,49,68
1507347135,22,45
1507349066,24,47
1507350984,13,65
1507352907,645,0
1507354813,18,15
1507356747,22,10
1507358658,25,23
1507360576,17,19
1507362498,20,16
1507364427,21,19
1507366346,26,24
1507368256,21,20
1507370171,21,31
1507372092,37,25
1507374029,49,39
1507375958,28,19
1507377876,51,26
1507379793,55,19
1507381696,110,33
1507383625,40,30
1507385548,34,32
1507387454,52,34
1507389371,60,32
1507391293,54,44
1507393222,39,1969
1507395146,35,38
1507397055,724,0
1507398982,86,19
1507400903,54,20
1507402822,143,46
1507404736,70,33
1507406668,63,33
1507408572,108,25
1507410494,72,33
1507412428,48,40
1507414347,62,26
1507416261,43,19
1507418197,89,33
1507420103,53,30
1507422035,25,25
1507423949,28,37
1507425871,31,43
1507427772,23,21
1507429720,22,20
1507431629,47,51
1507433558,22,23
1507435462,16,27
1507437386,26,34
1507439303,639,0
1507441225,30,15
1507443150,28,19
1507445071,48,19
