DateTime,Entries,UniqueIPs
1507086979,2722,2722
1507088893,2695,2695
1507090824,2688,2688
1507092739,2709,2709
1507094653,3392,3392
1507096570,3397,3397
1507098493,3400,3400
1507100418,3425,3425
1507102338,3442,3442
1507104261,3463,3463
1507106180,3460,3460
1507108101,3455,3455
1507110023,3460,3460
1507111934,3475,3475
1507113851,3491,3491
1507115780,3497,3497
1507117942,3522,3522
1507119853,3534,3534
1507121783,3534,3534
1507123692,3529,3529
1507125640,3559,3559
1507127549,3586,3586
1507129484,3593,3593
1507131389,3571,3571
1507133314,2105,2105
1507135214,2122,2122
1507137169,2808,2808
1507139052,2828,2828
1507140947,2835,2835
1507142900,2840,2840
1507144830,2855,2855
1507146749,2857,2857
1507148655,2849,2849
1507150573,2850,2850
1507152502,2854,2854
1507154441,2869,2869
1507156354,2878,2878
1507158272,2883,2883
1507160195,2891,2891
1507162352,2903,2903
1507164253,2893,2893
1507166182,2898,2898
1507168095,2891,2891
1507170021,2889,2889
1507171954,2889,2889
1507173853,2883,2883
1507175782,2895,2895
1507177707,2897,2897
1507179617,3515,3515
1507181551,3512,3512
1507183469,3510,3510
1507185397,3524,3524
1507187317,3529,3529
1507189228,3533,3533
1507191151,3524,3524
1507193067,3536,3536
1507194979,3543,3543
1507196909,3556,3556
1507198830,3560,3560
1507200750,3560,3560
1507202672,3552,3552
1507204573,3549,3549
1507206504,3548,3548
1507208409,3533,3533
1507210342,3534,3534
1507212254,3537,3537
1507214415,3514,3514
1507216340,3504,3504
1507218254,3512,3512
1507220433,1635,1635
1507222330,1670,1670
1507224265,2523,2523
1507226169,2538,2538
1507228093,2562,2562
1507230028,2594,2594
1507232190,2624,2624
1507234102,2666,2666
1507236023,2689,2689
1507237887,2752,2752
1507239856,2828,2828
1507242514,2883,2883
1507244426,2913,2913
1507246581,2894,2894
1507248406,2882,2882
1507250408,2909,2909
1507252476,2925,2925
1507254496,2932,2932
1507256414,2941,2941
1507258609,2918,2918
1507260510,2906,2906
1507262492,2896,2896
1507264378,2889,2889
1507266439,3627,3627
1507268654,3615,3615
1507271492,3620,3620
1507273461,3618,3618
1507275385,3619,3619
1507277299,3622,3622
1507279226,3629,3629
1507281099,3639,3639
1507283182,3653,3653
1507285209,3641,3641
1507287140,3613,3613
1507289050,3619,3619
1507290968,3603,3603
1507292890,3599,3599
1507294828,3633,3633
1507296748,3615,3615
1507298660,3592,3592
1507300585,3572,3572
1507302500,3551,3551
1507304415,3537,3537
1507306337,2098,2098
1507308251,2071,2071
1507310185,2778,2778
1507312103,2791,2791
1507314031,2804,2804
1507315931,2805,2805
1507317892,2807,2807
1507319781,2809,2809
1507321703,2817,2817
1507323623,2817,2817
1507325549,2811,2811
1507327462,2810,2810
1507329632,2818,2818
1507331552,2819,2819
1507333458,2821,2821
