DateTime,Entries,UniqueIPs
1507610715,31632,31632
1507611616,31997,31997
1507612517,32225,32225
1507613415,32383,32383
1507614317,32478,32478
1507615216,33715,33715
1507616115,34839,34839
1507617016,36184,36184
1507617915,37174,37174
1507618815,37272,37272
1507619715,36628,36628
1507620615,34975,34975
1507621515,33420,33420
1507622415,32017,32017
1507623315,30331,30331
1507624216,29392,29392
1507625114,28601,28601
1507626017,28426,28426
1507626918,28123,28123
1507627817,27325,27325
1507628718,27333,27333
1507629617,27361,27361
1507630518,26990,26990
1507631421,26705,26705
1507632318,26629,26629
1507633216,27097,27097
1507634115,27658,27658
1507635019,29208,29208
1507635917,32089,32089
1507636817,33370,33370
1507637713,34189,34189
1507638614,33234,33234
1507639512,32176,32176
1507640414,31385,31385
1507641313,30532,30532
1507642213,29901,29901
1507643115,29181,29181
1507644014,29175,29175
1507644914,29665,29665
1507645814,29850,29850
1507646716,29578,29578
1507647616,29642,29642
1507648515,29636,29636
1507649414,30003,30003
1507650314,31965,31965
1507651214,33607,33607
1507652116,34673,34673
1507653015,36612,36612
1507653915,36921,36921
1507654814,37772,37772
1507655713,37525,37525
1507656613,37024,37024
1507657514,35169,35169
1507658413,33713,33713
1507659313,31923,31923
1507660213,30366,30366
1507661112,28968,28968
1507662012,27382,27382
1507662914,25907,25907
1507663817,24701,24701
1507664717,25057,25057
1507665618,24804,24804
1507666516,24610,24610
1507667417,24441,24441
1507668318,23876,23876
1507669214,23322,23322
1507670113,23150,23150
1507671012,22919,22919
1507671913,22521,22521
1507672813,22236,22236
1507673714,22014,22014
1507674613,21547,21547
1507675513,21181,21181
1507676414,21098,21098
1507677313,20973,20973
1507678213,20922,20922
1507679114,21299,21299
1507680013,22145,22145
1507680914,23032,23032
1507681813,24311,24311
1507682714,25819,25819
1507683614,27554,27554
1507684515,29405,29405
1507685415,30537,30537
1507686313,30904,30904
1507687213,30968,30968
1507688135,30739,30739
1507689012,30307,30307
1507689911,29911,29911
1507690812,29564,29564
1507691712,29121,29121
1507692611,28865,28865
1507693513,28954,28954
1507694410,28953,28953
1507695313,29325,29325
1507696214,29619,29619
1507697112,29944,29944
1507698014,30505,30505
1507698913,31393,31393
1507699816,32539,32539
1507700714,33682,33682
1507701613,34733,34733
1507702513,34762,34762
1507703414,34790,34790
1507704313,34790,34790
1507705211,34553,34553
1507706113,33571,33571
1507707012,32589,32589
1507707913,31474,31474
1507708812,30460,30460
1507709711,29367,29367
1507710610,28372,28372
1507711509,27397,27397
1507712413,26540,26540
1507713312,25273,25273
1507714213,24140,24140
1507715111,22992,22992
1507716010,21773,21773
1507716912,20415,20415
1507717811,28659,28659
1507718710,34658,34658
1507719610,35529,35529
1507720510,35627,35627
1507721410,34822,34822
1507722311,34092,34092
1507723212,33227,33227
1507724110,32276,32276
1507725010,31175,31175
1507725909,30237,30237
1507726810,29441,29441
1507727710,28549,28549
1507728608,27661,27661
1507729511,26716,26716
1507730412,25861,25861
1507731310,24952,24952
1507732210,23998,23998
1507733110,23058,23058
1507734009,22319,22319
1507734908,21545,21545
1507735809,20690,20690
1507736709,19930,19930
1507737608,19118,19118
1507738509,18251,18251
1507739410,17222,17222
1507740309,15998,15998
1507741211,14951,14951
1507742109,14585,14585
1507743009,14379,14379
1507743909,13515,13515
1507744809,12498,12498
1507745708,11716,11716
1507747507,10995,10995
1507748409,10977,10977
1507749308,10920,10920
1507750207,10559,10559
1507751107,10204,10204
1507752008,9870,9870
1507752907,9500,9500
1507753808,9227,9227
1507754708,9398,9398
1507755608,9664,9664
1507756508,9544,9544
1507757409,8981,8981
1507758308,8407,8407
1507759208,8193,8193
1507760108,7904,7904
1507761010,8357,8357
1507761908,8608,8608
1507762808,8988,8988
1507763708,9332,9332
1507764607,9576,9576
1507765508,9708,9708
1507766407,9906,9906
1507767306,10126,10126
1507768207,10335,10335
1507769107,10448,10448
1507770006,10596,10596
1507770907,10797,10797
1507771807,10972,10972
1507772706,11159,11159
1507773607,11363,11363
1507774506,11512,11512
1507775406,11503,11503
1507776305,11526,11526
1507777206,11503,11503
1507778106,11435,11435
1507779006,11440,11440
1507779905,11487,11487
1507780807,11532,11532
1507781707,11516,11516
1507782606,11446,11446
1507783507,11350,11350
1507784406,11341,11341
1507785306,11456,11456
1507786206,11279,11279
1507787105,11290,11290
1507788006,11349,11349
1507788905,11441,11441
1507789806,11571,11571
1507790706,11676,11676
1507791606,11786,11786
1507792505,11714,11714
1507793405,11470,11470
1507794305,11406,11406
1507795206,11531,11531
1507796106,11426,11426
1507797005,11464,11464
1507797905,11544,11544
1507798805,11543,11543
1507799705,11504,11504
1507800606,11378,11378
1507801505,11464,11464
