DateTime,Entries,UniqueIPs
1507813926,5227,5227
1507814405,5228,5228
1507814887,5229,5229
1507815364,5229,5229
1507815846,5229,5229
1507816325,5232,5232
1507816825,5226,5226
1507817292,5226,5226
1507817766,5232,5232
1507818244,5215,5215
1507818727,5229,5229
1507819206,5228,5228
1507819686,5230,5230
1507820165,5230,5230
1507820648,5221,5221
1507821128,5219,5219
1507821605,5220,5220
1507822085,5217,5217
1507822564,5217,5217
1507823047,5219,5219
1507823525,5223,5223
1507825213,5228,5228
1507825693,5231,5231
1507826164,5221,5221
1507826645,5231,5231
1507827126,5226,5226
1507827610,5230,5230
1507828085,5231,5231
1507828565,5232,5232
1507829048,5221,5221
1507829526,5230,5230
1507830005,5228,5228
1507830484,5228,5228
1507830967,5229,5229
1507831447,5227,5227
1507831924,5212,5212
1507832647,5219,5219
1507833124,5219,5219
1507833606,5219,5219
1507834084,5230,5230
1507834564,5216,5216
1507835046,5231,5231
1507835526,5227,5227
1507836005,5233,5233
1507836485,5233,5233
1507836971,5224,5224
1507837446,5232,5232
1507837924,5227,5227
1507838407,5229,5229
1507838888,5230,5230
1507839365,5232,5232
1507839844,5223,5223
1507840326,5230,5230
1507840810,5224,5224
1507841287,5227,5227
1507841765,5228,5228
1507842247,5228,5228
1507842726,5226,5226
1507843205,5226,5226
1507843684,5226,5226
1507844164,5226,5226
1507844650,5231,5231
1507845125,5219,5219
1507845616,5228,5228
1507846086,5231,5231
1507846566,5224,5224
1507847532,5223,5223
1507848004,5221,5221
1507848491,5226,5226
1507848965,5229,5229
1507849448,5226,5226
1507849924,5229,5229
1507850408,5217,5217
1507850884,5226,5226
1507851364,5224,5224
1507851845,5226,5226
1507852329,5229,5229
1507853285,5217,5217
1507854005,5229,5229
1507854488,5220,5220
1507854964,5222,5222
1507855444,5221,5221
1507855924,5211,5211
1507856421,5220,5220
1507856886,5218,5218
1507857367,5219,5219
1507857844,5226,5226
1507858328,5218,5218
1507858804,5228,5228
1507859284,5218,5218
1507859765,5217,5217
