DateTime,AddedIPs,RemovedIPs
1507654321,6,3
1507654921,7,9
1507655522,5,0
1507656122,11,1
1507656722,3,2
1507657322,4,0
1507657922,5,0
1507658522,6,4
1507659121,4,0
1507660922,3,12
1507661522,5,0
1507662121,7,4
1507662721,3,0
1507663922,3,5
1507664522,0,5
1507665121,21,0
1507665722,3,0
1507666921,1,0
1507668122,0,1
1507669322,3,9
1507669922,4,0
1507670521,3,10
1507671721,8,1
1507672921,5,1
1507674122,13,2
1507674721,13,11
1507675321,2,0
1507675921,3,3
1507676521,2,0
1507677722,7,0
1507678922,2,0
1507680121,14,0
1507681321,1,3
1507681922,2,0
1507682521,2,4
1507683122,3,4
1507683723,1,2
1507685522,9,2
1507686121,7,12
1507687321,6,6
1507688522,0,11
1507689121,5,11
1507689722,3,0
1507690322,3,4
1507690922,2,5
1507691522,4,0
1507692121,1,7
1507693321,1,2
1507693921,1,7
1507694522,15,0
1507695722,2,6
1507696321,8,0
1507696921,1,5
1507697521,4,0
1507698721,3,1
1507699922,2,9
1507700522,0,7
1507701722,3,2
1507702921,3,9
1507704121,0,4
1507704721,4,0
1507705323,3,5
1507706521,1,18
1507707721,8,1
1507708922,3,10
1507709521,1,4
1507710121,3,1
1507711322,4,0
1507711922,2,3
1507712521,3,2
1507713121,6,0
1507713722,6,0
1507714922,1,10
1507715521,0,1
1507716122,1,1
1507717321,7,3
1507718521,0,6
1507719121,13,0
1507719722,6,0
1507720921,9,21
1507721522,4,5
1507722122,4,1
1507723322,3,0
1507723921,3,1
1507724522,5,9
1507725722,4,0
1507726321,4,5
1507726921,6,0
1507728121,3,6
1507728721,6,9
1507729322,2,0
1507729922,1,15
1507730521,12,4
1507731121,3,0
1507731722,3,18
1507732921,2,6
1507733522,3,0
1507734121,1,5
1507734722,6,0
1507735323,2,7
1507736522,1,0
1507737122,1,4
1507737722,6,2
1507738322,4,0
1507738922,0,1
1507740122,1,0
1507740721,2,1
1507741322,3,3
1507742521,3,1
1507743122,0,2
1507743722,0,3
1507744921,3,1
1507745522,7,2
