DateTime,AddedIPs,RemovedIPs
1507654921,28,28
1507656121,46,46
1507657322,54,54
1507658521,50,50
1507659121,24,24
1507660922,65,65
1507661521,24,24
1507662121,48,48
1507663321,63,63
1507664521,55,55
1507665121,12,12
1507665722,55,55
1507666322,26,26
1507666921,44,44
1507668122,71,71
1507669322,61,61
1507669922,16,16
1507670521,67,67
1507671721,59,59
1507672921,84,84
1507673522,45,45
1507674122,42,42
1507674721,29,29
1507675321,62,62
1507675921,50,50
1507676521,33,33
1507677722,38,38
1507678922,58,58
1507680121,64,64
1507681321,55,55
1507681922,50,50
1507682521,33,33
1507683121,31,31
1507683723,28,28
1507684921,33,33
1507686121,65,65
1507687321,48,48
1507687922,30,30
1507688522,18,18
1507689722,38,38
1507690322,23,23
1507690922,26,26
1507692121,45,45
1507693321,47,47
1507694522,53,53
1507695722,20,20
1507696321,43,43
1507696921,18,18
1507698122,34,34
1507698721,17,17
1507699322,13,13
1507699922,21,21
1507700522,22,22
1507701121,14,14
1507701722,19,19
1507702921,34,34
1507704121,24,24
1507704721,20,20
1507705323,31,31
1507706521,34,34
1507707721,57,57
1507708921,46,46
1507710121,39,39
1507710721,26,26
1507711322,19,19
1507711922,11,11
1507712521,19,19
1507713722,37,37
1507714922,48,48
1507715521,20,20
1507716121,7,7
1507716722,23,23
1507717321,16,16
1507718521,25,25
1507719722,25,25
1507720921,50,50
1507722122,25,25
1507722721,15,15
1507723322,15,15
1507723921,19,19
1507724522,21,21
1507725722,30,30
1507726321,14,14
1507726921,22,22
1507728121,17,17
1507728721,7,7
1507729322,8,8
1507730521,35,35
1507731121,7,7
1507731722,4,4
1507732921,25,25
1507733522,9,9
1507734121,8,8
1507734721,11,11
1507735323,40,40
1507735921,25,25
1507736522,17,17
1507737122,10,10
1507737722,28,28
1507738922,43,43
1507740122,34,34
1507741322,22,22
1507742521,43,43
1507743722,56,56
1507744921,54,54
1507745522,34,34
1507747322,41,41
1507747921,22,22
1507748522,21,21
1507749121,53,53
1507749722,33,33
1507750322,24,24
1507750922,24,24
1507752123,58,58
1507753321,52,52
1507754522,37,37
1507755122,10,10
1507755721,39,39
1507756922,38,38
1507757522,33,33
1507758122,29,29
1507758722,13,13
1507759322,36,36
1507760521,49,49
1507761721,65,65
1507762921,57,57
1507763521,23,23
1507764121,25,25
1507764722,40,40
1507765321,36,36
1507766522,57,57
1507767721,46,46
1507768921,31,31
1507769523,20,20
1507770121,29,29
1507771321,23,23
1507772521,31,31
1507773721,42,42
1507774921,39,39
1507775521,5,5
1507776122,13,13
1507777321,40,40
1507778521,38,38
1507779122,23,23
1507779723,25,25
1507780322,45,45
1507780922,14,14
1507781522,31,31
1507782121,32,32
1507782721,25,25
1507783322,23,23
1507784522,15,15
1507785721,49,49
1507786921,50,50
1507788122,45,45
1507788722,13,13
1507789322,13,13
1507790522,26,26
1507791122,7,7
1507791722,22,22
1507792922,41,41
1507794122,22,22
1507795322,27,27
1507796522,27,27
1507797121,23,23
1507797721,15,15
1507798921,20,20
1507800122,42,42
1507800721,11,11
1507801322,9,9
